#Position (bp)	Coverage	Std
9.039147525E8	0.0	0.0
9.120949765E8	0.0	0.0
9.202752005E8	0.0	0.0
9.284554245E8	0.0	0.0
9.366356485E8	0.0	0.0
9.448158725E8	0.0	0.0
9.529960965E8	0.0	0.0
9.611763205E8	0.0	0.0
9.693565445E8	0.0	0.0
9.775367685E8	0.0	0.0
9.857169925E8	0.0	0.0
9.938972165E8	0.0	0.0
1.0020774405E9	0.0	0.0
1.0102576645E9	0.0	0.0
1.0184378885E9	0.0	0.0
1.0266181125E9	0.0	0.0
1.0347983365E9	0.0	0.0
1.0429785605E9	0.0	0.0
1.0511587845E9	0.0	0.0
1.0589350585E9	0.0	0.0
1.062667565E9	0.0	0.0
1.063071515E9	0.0	0.0
1.0675192325E9	0.0	0.0
1.0756994565E9	0.0	0.0
1.0838796805E9	0.0	0.0
1.0920599045E9	0.0	0.0
1.1002401285E9	0.0	0.0
1.1084203525E9	0.0	0.0
1.1166005765E9	0.0	0.0
1.1247808005E9	0.0	0.0
1.1329610245E9	0.0	0.0
1.1411412485E9	0.0	0.0
1.1493214725E9	0.0	0.0
1.1575016965E9	0.0	0.0
1.1656819205E9	0.0	0.0
1.1738621445E9	0.0	0.0
1.1820423685E9	0.0	0.0
1.1902225925E9	0.0	0.0
1.1984028165E9	0.0	0.0
1.2065830405E9	0.0	0.0
1.2147632645E9	0.0	0.0
1.2229434885E9	0.0	0.0
1.2302767445E9	0.0	0.0
1.2343668565E9	0.0	0.0
1.2393039365E9	0.0	0.0
1.2474841605E9	0.0	0.0
1.2556643845E9	0.0	0.0
1.2638446085E9	0.0	0.0
1.2720248325E9	0.0	0.0
1.2802050565E9	0.0	0.0
1.2883852805E9	0.0	0.0
1.2965655045E9	0.0	0.0
1.3047457285E9	0.0	0.0
1.3129259525E9	0.0	0.0
1.3211061765E9	0.0	0.0
1.3292864005E9	0.0	0.0
1.3374666245E9	0.0	0.0
1.3456468485E9	0.0	0.0
1.3538270725E9	0.0	0.0
1.3620072965E9	0.0	0.0
1.3701875205E9	0.0	0.0
1.3783677445E9	0.0	0.0
1.3865479685E9	0.0	0.0
1.391751971E9	0.0	0.0
1.395842083E9	0.0	0.0
1.4029084165E9	0.0	0.0
1.4110886405E9	0.0	0.0
1.4192688645E9	0.0	0.0
1.4274490885E9	0.0	0.0
1.4356293125E9	0.0	0.0
1.4438095365E9	0.0	0.0
1.4519897605E9	0.0	0.0
1.4601699845E9	0.0	0.0
1.4683502085E9	0.0	0.0
1.4765304325E9	0.0	0.0
1.4847106565E9	0.0	0.0
1.4928908805E9	0.0	0.0
1.5010711045E9	0.0	0.0
1.5092513285E9	0.0	0.0
1.5174315525E9	0.0	0.0
1.5256117765E9	0.0	0.0
1.5337920005E9	0.0	0.0
1.537943305E9	0.0	0.0
1.542033417E9	0.0	0.0
1.5501524485E9	0.0	0.0
1.5583326725E9	0.0	0.0
1.5665128965E9	0.0	0.0
1.5746931205E9	0.0	0.0
1.5828733445E9	0.0	0.0
1.5910535685E9	0.0	0.0
1.5992337925E9	0.0	0.0
1.6074140165E9	0.0	0.0
1.6155942405E9	0.0	0.0
1.6237744645E9	0.0	0.0
1.6319546885E9	0.0	0.0
1.6401349125E9	0.0	0.0
1.6483151365E9	0.0	0.0
1.6564953605E9	0.0	0.0
1.6646755845E9	0.0	0.0
1.6725824555E9	0.0	0.0
1.6764192455E9	0.0	0.0
1.6764583035E9	0.0	0.0
1.676565753E9	0.0	0.0
1.6766737005E9	0.0	0.0
1.676819573E9	0.0	0.0
1.6810360325E9	0.0	0.0
1.6892162565E9	0.0	0.0
1.6973964805E9	0.0	0.0
1.7055767045E9	0.0	0.0
1.7137569285E9	0.0	0.0
1.7219371525E9	0.0	0.0
1.7301173765E9	0.0	0.0
1.7382976005E9	0.0	0.0
1.7464778245E9	0.0	0.0
1.7546580485E9	0.0	0.0
1.7628382725E9	0.0	0.0
1.7710184965E9	0.0	0.0
1.7791987205E9	0.0	0.0
1.7873789445E9	0.0	0.0
1.7955591685E9	0.0	0.0
1.8037393925E9	0.0	0.0
1.809160076E9	0.0	0.0
1.813250188E9	0.0	0.0
1.8200998405E9	0.0	0.0
1.8282800645E9	0.0	0.0
1.8364602885E9	0.0	0.0
1.8446405125E9	0.0	0.0
1.8528207365E9	0.0	0.0
1.8610009605E9	0.0	0.0
1.8691811845E9	0.0	0.0
1.8773614085E9	0.0	0.0
1.8855416325E9	0.0	0.0
1.8937218565E9	0.0	0.0
1.9019020805E9	0.0	0.0
1.9100823045E9	0.0	0.0
1.9182625285E9	0.0	0.0
1.9264427525E9	0.0	0.0
1.9346229765E9	0.0	0.0
1.942145179E9	0.0	0.0
1.9456274275E9	0.0	0.0
1.946285449E9	0.0	0.0
