Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX10030.WHB6531.unmapped-both-read-and-mate	2612.0	406.0	nan	nan	5847.0
MUX10030.WHB6532.unmapped-both-read-and-mate	3655.0	376.0	2.0	2.0	6205.0
MUX10030.WHB6533.unmapped-both-read-and-mate	1513.0	449.0	nan	nan	5487.0
MUX10030.WHB6534.unmapped-both-read-and-mate	2206.0	436.0	4.0	1.0	5875.0
MUX10031.WHB6536.unmapped-both-read-and-mate	1589.0	392.0	1.0	nan	5555.0
MUX10031.WHB6538.unmapped-both-read-and-mate	1532.0	453.0	nan	nan	6099.0
MUX10031.WHB6539.unmapped-both-read-and-mate	1407.0	379.0	5.0	1.0	5312.0
MUX10031.WHB6541.unmapped-both-read-and-mate	1804.0	478.0	nan	nan	6326.0
MUX10031.WHB6542.unmapped-both-read-and-mate	1303.0	352.0	1.0	nan	5060.0
MUX10032.WHB6543.unmapped-both-read-and-mate	3395.0	322.0	nan	nan	5300.0
MUX10032.WHB6544.unmapped-both-read-and-mate	1493.0	347.0	nan	1.0	4570.0
MUX10032.WHB6545.unmapped-both-read-and-mate	1700.0	379.0	2.0	nan	4880.0
MUX10032.WHB6546.unmapped-both-read-and-mate	1406.0	331.0	4.0	nan	4133.0
MUX10032.WHB6547.unmapped-both-read-and-mate	6299.0	326.0	nan	nan	7799.0
MUX10033.WHB6549.unmapped-both-read-and-mate	1565.0	1108.0	2.0	nan	39514.0
MUX10033.WHB6550.unmapped-both-read-and-mate	2062.0	1468.0	2.0	1.0	51188.0
MUX10033.WHB6551.unmapped-both-read-and-mate	1570.0	1199.0	3.0	1.0	39724.0
MUX10033.WHB6552.unmapped-both-read-and-mate	1107.0	1086.0	nan	nan	38090.0
MUX10033.WHB6553.unmapped-both-read-and-mate	2394.0	1383.0	2.0	nan	47962.0
MUX10034.WHB6554.unmapped-both-read-and-mate	1682.0	1376.0	nan	nan	44094.0
MUX10034.WHB6555.unmapped-both-read-and-mate	1763.0	1258.0	6.0	1.0	33735.0
MUX10034.WHB6556.unmapped-both-read-and-mate	1464.0	1289.0	nan	1.0	40946.0
MUX10034.WHB6557.unmapped-both-read-and-mate	2295.0	1399.0	23.0	nan	41115.0
MUX10034.WHB6558.unmapped-both-read-and-mate	1411.0	1196.0	nan	1.0	33519.0
MUX10035.WHB6559.unmapped-both-read-and-mate	2077.0	1456.0	nan	nan	39820.0
MUX10035.WHB6560.unmapped-both-read-and-mate	1631.0	1429.0	1.0	nan	43048.0
MUX10035.WHB6561.unmapped-both-read-and-mate	1414.0	1307.0	7.0	nan	33116.0
MUX10035.WHB6562.unmapped-both-read-and-mate	1482.0	1310.0	1.0	1.0	33427.0
MUX10035.WHB6563.unmapped-both-read-and-mate	1293.0	1390.0	1.0	1.0	37160.0
