Sample	Metazoa	Other	Unclassified
MUX10071.WHB6783.unmapped-both-read-and-mate	340.0	844.0	3227.0
MUX10071.WHB6784.unmapped-both-read-and-mate	288.0	739.0	3220.0
MUX10071.WHB6785.unmapped-both-read-and-mate	363.0	728.0	3600.0
MUX10072.WHB6787.unmapped-both-read-and-mate	287.0	2378.0	4058.0
MUX10072.WHB6788.unmapped-both-read-and-mate	326.0	2762.0	4635.0
MUX10072.WHB6791.unmapped-both-read-and-mate	332.0	789.0	3134.0
MUX10072.WHB6793.unmapped-both-read-and-mate	337.0	1208.0	3409.0
MUX10072.WHB6796.unmapped-both-read-and-mate	365.0	1979.0	4320.0
MUX10073.WHB6786.unmapped-both-read-and-mate	330.0	822.0	3282.0
MUX10073.WHB6789.unmapped-both-read-and-mate	288.0	705.0	3172.0
MUX10073.WHB6790.unmapped-both-read-and-mate	292.0	1282.0	3609.0
MUX10073.WHB6794.unmapped-both-read-and-mate	352.0	1113.0	3498.0
MUX10073.WHB6795.unmapped-both-read-and-mate	363.0	769.0	3663.0
MUX10074.WHB6797.unmapped-both-read-and-mate	424.0	1259.0	4328.0
MUX10074.WHB6798.unmapped-both-read-and-mate	360.0	594.0	3185.0
MUX10074.WHB6799.unmapped-both-read-and-mate	339.0	829.0	3353.0
MUX10074.WHB6800.unmapped-both-read-and-mate	328.0	976.0	2918.0
MUX10074.WHB6801.unmapped-both-read-and-mate	329.0	786.0	3126.0
MUX10075.WHB6802.unmapped-both-read-and-mate	298.0	977.0	3562.0
MUX10075.WHB6803.unmapped-both-read-and-mate	318.0	984.0	3298.0
MUX10075.WHB6804.unmapped-both-read-and-mate	320.0	804.0	3278.0
MUX10075.WHB6805.unmapped-both-read-and-mate	315.0	682.0	3195.0
MUX10075.WHB6806.unmapped-both-read-and-mate	259.0	550.0	2908.0
MUX10076.WHB6807.unmapped-both-read-and-mate	307.0	671.0	2821.0
MUX10076.WHB6808.unmapped-both-read-and-mate	328.0	452.0	2678.0
MUX10076.WHB6809.unmapped-both-read-and-mate	298.0	812.0	2894.0
MUX10076.WHB6810.unmapped-both-read-and-mate	325.0	671.0	2956.0
MUX10076.WHB6811.unmapped-both-read-and-mate	387.0	586.0	3285.0
MUX10077.WHB6812.unmapped-both-read-and-mate	387.0	733.0	3295.0
MUX10077.WHB6813.unmapped-both-read-and-mate	443.0	594.0	3637.0
MUX10077.WHB6817.unmapped-both-read-and-mate	290.0	920.0	2805.0
MUX10077.WHB6818.unmapped-both-read-and-mate	316.0	854.0	3010.0
MUX10077.WHB6819.unmapped-both-read-and-mate	276.0	616.0	2707.0
MUX10078.WHB6814.unmapped-both-read-and-mate	321.0	916.0	3457.0
MUX10078.WHB6815.unmapped-both-read-and-mate	322.0	1286.0	3717.0
MUX10078.WHB6816.unmapped-both-read-and-mate	297.0	795.0	3068.0
MUX10078.WHB6820.unmapped-both-read-and-mate	421.0	1140.0	4272.0
MUX10078.WHB6823.unmapped-both-read-and-mate	325.0	450.0	3009.0
MUX10079.WHB6821.unmapped-both-read-and-mate	501.0	597.0	16368.0
MUX10079.WHB6822.unmapped-both-read-and-mate	455.0	860.0	15268.0
MUX10079.WHB6825.unmapped-both-read-and-mate	449.0	566.0	14094.0
MUX10079.WHB6826.unmapped-both-read-and-mate	606.0	450.0	19179.0
MUX10080.WHB6827.unmapped-both-read-and-mate	477.0	691.0	13140.0
MUX10080.WHB6828.unmapped-both-read-and-mate	485.0	973.0	16653.0
MUX10080.WHB6829.unmapped-both-read-and-mate	505.0	592.0	15092.0
MUX10080.WHB6830.unmapped-both-read-and-mate	560.0	404.0	15846.0
MUX10080.WHB6834.unmapped-both-read-and-mate	467.0	670.0	13824.0
MUX10081.WHB6831.unmapped-both-read-and-mate	498.0	913.0	15088.0
MUX10081.WHB6833.unmapped-both-read-and-mate	502.0	632.0	15036.0
MUX10081.WHB6835.unmapped-both-read-and-mate	477.0	683.0	13078.0
MUX10081.WHB6837.unmapped-both-read-and-mate	479.0	817.0	14313.0
MUX10082.WHB6836.unmapped-both-read-and-mate	743.0	764.0	20371.0
MUX10082.WHB6838.unmapped-both-read-and-mate	557.0	498.0	17321.0
MUX10082.WHB6839.unmapped-both-read-and-mate	331.0	364.0	8837.0
MUX10082.WHB6840.unmapped-both-read-and-mate	441.0	778.0	13878.0
