Sample	Pseudomonas mendocina	Homo sapiens	Alcaligenes faecalis	Sphingobium sp. YG1	Achromobacter xylosoxidans	Other	Unclassified
MUX10039.WHB6588.unmapped-both-read-and-mate	nan	1102.0	nan	nan	nan	1320.0	31202.0
MUX10040.WHB6461.unmapped-both-read-and-mate	nan	666.0	nan	nan	2.0	1862.0	18323.0
MUX10040.WHB6481.unmapped-both-read-and-mate	nan	715.0	nan	nan	nan	975.0	19469.0
MUX10040.WHB6484.unmapped-both-read-and-mate	1.0	766.0	nan	nan	2.0	2984.0	24598.0
MUX10040.WHB6492.unmapped-both-read-and-mate	nan	718.0	nan	1.0	3.0	2494.0	26989.0
MUX10040.WHB6512.unmapped-both-read-and-mate	nan	804.0	nan	nan	nan	1496.0	23990.0
MUX10041.WHB6496.unmapped-both-read-and-mate	1.0	513.0	nan	1.0	2.0	1749.0	6190.0
MUX10041.WHB6579.unmapped-both-read-and-mate	nan	355.0	nan	1.0	nan	1290.0	4588.0
MUX10041.WHB6586.unmapped-both-read-and-mate	nan	501.0	nan	nan	nan	1554.0	5890.0
MUX10041.WHB7554.unmapped-both-read-and-mate	2.0	472.0	1.0	1.0	6.0	3921.0	7473.0
MUX10041.WHB7562.unmapped-both-read-and-mate	nan	388.0	nan	nan	nan	2188.0	5425.0
MUX10042.WHB6535.unmapped-both-read-and-mate	nan	575.0	nan	nan	nan	1461.0	6474.0
MUX10042.WHB6537.unmapped-both-read-and-mate	nan	471.0	nan	nan	nan	943.0	5520.0
MUX10042.WHB6540.unmapped-both-read-and-mate	nan	542.0	nan	nan	nan	1764.0	6833.0
MUX10042.WHB6548.unmapped-both-read-and-mate	1.0	506.0	nan	nan	nan	1515.0	5796.0
MUX10042.WHB6576.unmapped-both-read-and-mate	nan	483.0	nan	1.0	1.0	1445.0	6016.0
MUX10043.WHB7555.unmapped-both-read-and-mate	1.0	576.0	nan	nan	nan	5396.0	12209.0
MUX10043.WHB7556.unmapped-both-read-and-mate	1.0	493.0	nan	1.0	3.0	7230.0	12524.0
MUX10043.WHB7557.unmapped-both-read-and-mate	nan	524.0	nan	nan	2.0	3134.0	10534.0
MUX10043.WHB7558.unmapped-both-read-and-mate	nan	567.0	nan	1.0	3.0	3029.0	10111.0
MUX10043.WHB7559.unmapped-both-read-and-mate	nan	545.0	1.0	nan	1.0	5095.0	12138.0
MUX10044.WHB7564.unmapped-both-read-and-mate	nan	582.0	3.0	nan	2.0	7538.0	13695.0
MUX10044.WHB7565.unmapped-both-read-and-mate	nan	362.0	nan	nan	2.0	3299.0	7646.0
MUX10044.WHB7566.unmapped-both-read-and-mate	nan	515.0	nan	nan	nan	1685.0	9209.0
MUX10044.WHB7567.unmapped-both-read-and-mate	2.0	537.0	1.0	nan	nan	7120.0	12753.0
MUX10045.WHB7568.unmapped-both-read-and-mate	nan	467.0	nan	1.0	2.0	7474.0	11247.0
MUX10045.WHB7569.unmapped-both-read-and-mate	2.0	581.0	1.0	2.0	nan	4506.0	9501.0
MUX10045.WHB7570.unmapped-both-read-and-mate	nan	544.0	1.0	1.0	nan	3175.0	8198.0
MUX10045.WHB7576.unmapped-both-read-and-mate	1.0	497.0	2.0	1.0	2.0	3140.0	7419.0
MUX10046.WHB7571.unmapped-both-read-and-mate	nan	554.0	nan	nan	1.0	1778.0	8355.0
MUX10046.WHB7573.unmapped-both-read-and-mate	nan	412.0	4.0	1.0	3.0	7140.0	10996.0
MUX10046.WHB7574.unmapped-both-read-and-mate	nan	520.0	nan	1.0	2.0	2029.0	7236.0
MUX10046.WHB7575.unmapped-both-read-and-mate	nan	573.0	nan	1.0	nan	3879.0	11551.0
MUX10046.WHB7577.unmapped-both-read-and-mate	4.0	566.0	1.0	nan	1.0	4399.0	10242.0
MUX10047.WHB7578.unmapped-both-read-and-mate	nan	465.0	nan	2.0	nan	1656.0	6943.0
MUX10047.WHB7579.unmapped-both-read-and-mate	11.0	443.0	1.0	1.0	3.0	3163.0	7840.0
MUX10047.WHB7580.unmapped-both-read-and-mate	1.0	472.0	nan	1.0	nan	1970.0	6251.0
MUX10047.WHB7581.unmapped-both-read-and-mate	1.0	435.0	nan	nan	nan	1227.0	5789.0
MUX10047.WHB7583.unmapped-both-read-and-mate	nan	476.0	nan	nan	3.0	5022.0	9924.0
MUX10048.WHB7586.unmapped-both-read-and-mate	nan	400.0	1.0	nan	2.0	3016.0	6821.0
MUX10048.WHB7588.unmapped-both-read-and-mate	1.0	417.0	nan	nan	2.0	2631.0	6394.0
MUX10048.WHB7589.unmapped-both-read-and-mate	1.0	439.0	nan	1.0	2.0	1550.0	5649.0
MUX10048.WHB7590.unmapped-both-read-and-mate	3.0	473.0	nan	1.0	nan	2132.0	6267.0
MUX10049.WHB7591.unmapped-both-read-and-mate	nan	799.0	1.0	1.0	nan	2980.0	33753.0
MUX10049.WHB7592.unmapped-both-read-and-mate	4.0	831.0	nan	nan	1.0	2523.0	33364.0
MUX10049.WHB7593.unmapped-both-read-and-mate	2.0	756.0	nan	nan	nan	2146.0	33316.0
MUX10049.WHB7594.unmapped-both-read-and-mate	nan	866.0	1.0	1.0	nan	2746.0	33112.0
MUX10049.WHB7595.unmapped-both-read-and-mate	nan	747.0	nan	nan	nan	2081.0	30405.0
MUX10050.WHB7597.unmapped-both-read-and-mate	nan	764.0	nan	nan	nan	1373.0	27388.0
MUX10050.WHB7598.unmapped-both-read-and-mate	nan	866.0	1.0	nan	nan	1669.0	32323.0
MUX10050.WHB7599.unmapped-both-read-and-mate	nan	1075.0	nan	nan	nan	2113.0	46940.0
MUX10050.WHB7600.unmapped-both-read-and-mate	nan	773.0	1.0	2.0	1.0	3204.0	32157.0
MUX10050.WHB7601.unmapped-both-read-and-mate	nan	1038.0	1.0	nan	1.0	2055.0	47264.0
MUX10051.WHB7602.unmapped-both-read-and-mate	nan	956.0	nan	3.0	2.0	2721.0	43549.0
MUX10051.WHB7603.unmapped-both-read-and-mate	nan	825.0	nan	nan	nan	2239.0	34590.0
MUX10051.WHB7604.unmapped-both-read-and-mate	3.0	751.0	nan	1.0	nan	2788.0	32486.0
MUX10051.WHB7605.unmapped-both-read-and-mate	4.0	838.0	nan	nan	nan	2481.0	40892.0
MUX10051.WHB7606.unmapped-both-read-and-mate	nan	893.0	nan	nan	nan	3248.0	42058.0
MUX10052.WHB7607.unmapped-both-read-and-mate	2.0	1100.0	nan	nan	2.0	2595.0	50920.0
MUX10052.WHB7608.unmapped-both-read-and-mate	1.0	812.0	1.0	1.0	nan	1355.0	36353.0
MUX10052.WHB7609.unmapped-both-read-and-mate	nan	710.0	nan	nan	1.0	2770.0	30109.0
MUX10052.WHB7610.unmapped-both-read-and-mate	nan	956.0	nan	nan	nan	2021.0	43820.0
MUX10052.WHB7611.unmapped-both-read-and-mate	nan	1247.0	nan	nan	1.0	3259.0	54444.0
MUX10053.WHB7612.unmapped-both-read-and-mate	nan	1284.0	nan	2.0	1.0	2333.0	50240.0
MUX10053.WHB7613.unmapped-both-read-and-mate	nan	1092.0	nan	nan	nan	2414.0	44843.0
MUX10053.WHB7614.unmapped-both-read-and-mate	nan	1365.0	1.0	2.0	1.0	2566.0	54468.0
MUX10053.WHB7616.unmapped-both-read-and-mate	nan	1135.0	nan	nan	1.0	4125.0	48598.0
MUX10053.WHB7618.unmapped-both-read-and-mate	nan	1265.0	nan	2.0	nan	3066.0	50595.0
MUX10054.WHB7619.unmapped-both-read-and-mate	nan	765.0	nan	1.0	1.0	5797.0	40523.0
MUX10054.WHB7620.unmapped-both-read-and-mate	1.0	1154.0	nan	nan	1.0	2010.0	49167.0
MUX10054.WHB7621.unmapped-both-read-and-mate	1.0	1331.0	1.0	1.0	nan	4306.0	63169.0
MUX10054.WHB7622.unmapped-both-read-and-mate	2.0	1147.0	nan	1.0	1.0	4082.0	46417.0
MUX10054.WHB7623.unmapped-both-read-and-mate	nan	1029.0	nan	nan	1.0	2000.0	43353.0
MUX10055.WHB7624.unmapped-both-read-and-mate	1.0	1105.0	nan	1.0	5.0	7091.0	48470.0
MUX10055.WHB7625.unmapped-both-read-and-mate	1.0	1017.0	2.0	1.0	2.0	4497.0	47424.0
MUX10055.WHB7626.unmapped-both-read-and-mate	nan	1040.0	nan	nan	nan	2440.0	43056.0
MUX10055.WHB7627.unmapped-both-read-and-mate	nan	911.0	nan	1.0	3.0	2501.0	38255.0
MUX10055.WHB7628.unmapped-both-read-and-mate	nan	843.0	nan	1.0	2.0	2556.0	35319.0
MUX10056.WHB7629.unmapped-both-read-and-mate	nan	1213.0	nan	1.0	nan	2216.0	54459.0
MUX10056.WHB7630.unmapped-both-read-and-mate	nan	866.0	nan	3.0	1.0	2553.0	37306.0
MUX10056.WHB7631.unmapped-both-read-and-mate	nan	1392.0	1.0	nan	nan	2462.0	60993.0
MUX10056.WHB7632.unmapped-both-read-and-mate	nan	820.0	nan	1.0	nan	2940.0	33875.0
MUX10057.WHB7634.unmapped-both-read-and-mate	nan	585.0	1.0	2.0	nan	1802.0	15173.0
MUX10057.WHB7635.unmapped-both-read-and-mate	1.0	517.0	nan	1.0	nan	1587.0	13647.0
MUX10057.WHB7636.unmapped-both-read-and-mate	nan	621.0	1.0	nan	1.0	3057.0	22606.0
MUX10057.WHB7637.unmapped-both-read-and-mate	nan	611.0	nan	1.0	nan	3150.0	18047.0
MUX10057.WHB7638.unmapped-both-read-and-mate	nan	640.0	nan	nan	1.0	2181.0	16739.0
MUX10058.WHB7639.unmapped-both-read-and-mate	nan	536.0	nan	2.0	nan	1819.0	11675.0
MUX10058.WHB7640.unmapped-both-read-and-mate	nan	493.0	1.0	nan	nan	1807.0	11735.0
MUX10058.WHB7641.unmapped-both-read-and-mate	nan	526.0	nan	nan	nan	2295.0	10980.0
MUX10058.WHB7642.unmapped-both-read-and-mate	nan	539.0	nan	nan	1.0	1986.0	10249.0
MUX10058.WHB7643.unmapped-both-read-and-mate	nan	475.0	nan	nan	nan	1650.0	10136.0
MUX10059.WHB7644.unmapped-both-read-and-mate	1.0	427.0	2.0	2.0	1.0	2747.0	9840.0
MUX10059.WHB7645.unmapped-both-read-and-mate	nan	461.0	nan	nan	nan	2019.0	8608.0
MUX10059.WHB7646.unmapped-both-read-and-mate	nan	512.0	nan	nan	2.0	3356.0	11664.0
MUX10059.WHB7647.unmapped-both-read-and-mate	1.0	439.0	nan	nan	nan	2278.0	8058.0
MUX10059.WHB7648.unmapped-both-read-and-mate	nan	465.0	nan	nan	nan	2360.0	10989.0
MUX10060.WHB6580.unmapped-both-read-and-mate	nan	460.0	nan	nan	nan	1103.0	10060.0
MUX10060.WHB6581.unmapped-both-read-and-mate	nan	544.0	nan	nan	1.0	1576.0	12722.0
MUX10060.WHB6589.unmapped-both-read-and-mate	nan	714.0	nan	1.0	nan	1498.0	15592.0
MUX10060.WHB6590.unmapped-both-read-and-mate	1.0	600.0	nan	2.0	nan	1683.0	12541.0
MUX10060.WHB7649.unmapped-both-read-and-mate	nan	517.0	1.0	nan	3.0	3117.0	12762.0
MUX10061.WHB6593.unmapped-both-read-and-mate	nan	449.0	nan	nan	1.0	2207.0	12574.0
MUX10061.WHB6594.unmapped-both-read-and-mate	2.0	563.0	nan	1.0	nan	2841.0	15787.0
MUX10061.WHB6595.unmapped-both-read-and-mate	nan	562.0	nan	nan	1.0	1270.0	13446.0
MUX10061.WHB6599.unmapped-both-read-and-mate	nan	504.0	1.0	2.0	nan	1369.0	13433.0
MUX10061.WHB6601.unmapped-both-read-and-mate	nan	540.0	nan	1.0	nan	1657.0	16475.0
MUX10062.WHB6597.unmapped-both-read-and-mate	nan	704.0	nan	nan	1.0	2784.0	15010.0
