Sample	Proteobacteria	Chordata	Actinobacteria	Firmicutes	Bacteroidetes	Other	Unclassified
MUX10027.WHB6516.unmapped-both-read-and-mate	1447.0	578.0	21.0	10.0	1.0	21.0	7461.0
MUX10027.WHB6517.unmapped-both-read-and-mate	2737.0	657.0	64.0	33.0	5.0	41.0	9799.0
MUX10027.WHB6518.unmapped-both-read-and-mate	1749.0	628.0	34.0	7.0	1.0	20.0	8198.0
MUX10027.WHB6519.unmapped-both-read-and-mate	1600.0	552.0	19.0	8.0	1.0	13.0	6920.0
MUX10028.WHB6520.unmapped-both-read-and-mate	1787.0	430.0	32.0	7.0	nan	16.0	6102.0
MUX10028.WHB6521.unmapped-both-read-and-mate	1393.0	344.0	36.0	13.0	nan	19.0	4483.0
MUX10028.WHB6522.unmapped-both-read-and-mate	1384.0	312.0	16.0	10.0	nan	13.0	4488.0
MUX10028.WHB6523.unmapped-both-read-and-mate	1899.0	430.0	29.0	21.0	1.0	16.0	5491.0
MUX10028.WHB6524.unmapped-both-read-and-mate	1534.0	372.0	17.0	12.0	2.0	14.0	4658.0
MUX10029.WHB6525.unmapped-both-read-and-mate	1770.0	419.0	22.0	7.0	1.0	14.0	5773.0
MUX10029.WHB6526.unmapped-both-read-and-mate	1121.0	400.0	14.0	6.0	1.0	8.0	4805.0
MUX10029.WHB6527.unmapped-both-read-and-mate	1870.0	401.0	38.0	11.0	2.0	26.0	5096.0
MUX10029.WHB6528.unmapped-both-read-and-mate	1424.0	313.0	27.0	13.0	nan	11.0	4195.0
MUX10029.WHB6529.unmapped-both-read-and-mate	3942.0	356.0	55.0	9.0	4.0	26.0	6468.0
MUX10030.WHB6530.unmapped-both-read-and-mate	3388.0	430.0	41.0	6.0	1.0	23.0	6750.0
MUX10030.WHB6531.unmapped-both-read-and-mate	2559.0	406.0	27.0	9.0	2.0	15.0	5847.0
MUX10030.WHB6532.unmapped-both-read-and-mate	3580.0	376.0	39.0	12.0	4.0	24.0	6205.0
MUX10030.WHB6533.unmapped-both-read-and-mate	1475.0	449.0	24.0	1.0	1.0	12.0	5487.0
MUX10030.WHB6534.unmapped-both-read-and-mate	2155.0	436.0	30.0	6.0	nan	20.0	5875.0
MUX10031.WHB6536.unmapped-both-read-and-mate	1535.0	392.0	31.0	9.0	1.0	14.0	5555.0
MUX10031.WHB6538.unmapped-both-read-and-mate	1490.0	453.0	18.0	7.0	7.0	10.0	6099.0
MUX10031.WHB6539.unmapped-both-read-and-mate	1361.0	379.0	24.0	10.0	1.0	17.0	5312.0
MUX10031.WHB6541.unmapped-both-read-and-mate	1756.0	478.0	20.0	11.0	2.0	15.0	6326.0
MUX10031.WHB6542.unmapped-both-read-and-mate	1271.0	352.0	17.0	8.0	1.0	7.0	5060.0
MUX10032.WHB6543.unmapped-both-read-and-mate	3318.0	322.0	49.0	8.0	5.0	15.0	5300.0
MUX10032.WHB6544.unmapped-both-read-and-mate	1463.0	347.0	19.0	7.0	2.0	3.0	4570.0
MUX10032.WHB6545.unmapped-both-read-and-mate	1626.0	379.0	46.0	17.0	nan	13.0	4880.0
MUX10032.WHB6546.unmapped-both-read-and-mate	1373.0	331.0	16.0	6.0	nan	15.0	4133.0
MUX10032.WHB6547.unmapped-both-read-and-mate	6197.0	326.0	57.0	8.0	5.0	32.0	7799.0
MUX10033.WHB6549.unmapped-both-read-and-mate	1519.0	1108.0	19.0	11.0	1.0	17.0	39514.0
MUX10033.WHB6550.unmapped-both-read-and-mate	1912.0	1468.0	124.0	14.0	4.0	11.0	51188.0
MUX10033.WHB6551.unmapped-both-read-and-mate	1527.0	1199.0	17.0	7.0	4.0	19.0	39724.0
MUX10033.WHB6552.unmapped-both-read-and-mate	1062.0	1086.0	23.0	7.0	4.0	11.0	38090.0
MUX10033.WHB6553.unmapped-both-read-and-mate	2326.0	1383.0	31.0	13.0	7.0	19.0	47962.0
MUX10034.WHB6554.unmapped-both-read-and-mate	1580.0	1376.0	75.0	8.0	3.0	16.0	44094.0
MUX10034.WHB6555.unmapped-both-read-and-mate	1704.0	1258.0	30.0	13.0	1.0	22.0	33735.0
MUX10034.WHB6556.unmapped-both-read-and-mate	1414.0	1289.0	25.0	13.0	1.0	12.0	40946.0
MUX10034.WHB6557.unmapped-both-read-and-mate	2226.0	1399.0	30.0	17.0	4.0	41.0	41115.0
MUX10034.WHB6558.unmapped-both-read-and-mate	1377.0	1196.0	20.0	4.0	3.0	8.0	33519.0
MUX10035.WHB6559.unmapped-both-read-and-mate	2024.0	1456.0	23.0	11.0	1.0	18.0	39820.0
