Sample	Pseudomonas	Homo	Sphingomonas	Sphingobium	Alcaligenes	Other	Unclassified
MUX10040.WHB6512.unmapped-both-read-and-mate	8.0	804.0	2.0	6.0	nan	1480.0	23990.0
MUX10041.WHB6496.unmapped-both-read-and-mate	12.0	513.0	3.0	3.0	nan	1735.0	6190.0
MUX10041.WHB6579.unmapped-both-read-and-mate	8.0	355.0	1.0	4.0	nan	1278.0	4588.0
MUX10041.WHB6586.unmapped-both-read-and-mate	12.0	501.0	6.0	5.0	nan	1531.0	5890.0
MUX10041.WHB7554.unmapped-both-read-and-mate	20.0	472.0	13.0	15.0	1.0	3882.0	7473.0
MUX10041.WHB7562.unmapped-both-read-and-mate	16.0	388.0	7.0	4.0	nan	2161.0	5425.0
MUX10042.WHB6535.unmapped-both-read-and-mate	7.0	575.0	3.0	4.0	nan	1447.0	6474.0
MUX10042.WHB6537.unmapped-both-read-and-mate	7.0	471.0	3.0	5.0	nan	928.0	5520.0
MUX10042.WHB6540.unmapped-both-read-and-mate	14.0	542.0	7.0	3.0	nan	1740.0	6833.0
MUX10042.WHB6548.unmapped-both-read-and-mate	12.0	506.0	3.0	2.0	nan	1499.0	5796.0
MUX10042.WHB6576.unmapped-both-read-and-mate	5.0	483.0	2.0	3.0	nan	1437.0	6016.0
MUX10043.WHB7555.unmapped-both-read-and-mate	37.0	576.0	20.0	13.0	nan	5327.0	12209.0
MUX10043.WHB7556.unmapped-both-read-and-mate	27.0	493.0	27.0	15.0	nan	7166.0	12524.0
MUX10043.WHB7557.unmapped-both-read-and-mate	21.0	524.0	6.0	14.0	nan	3095.0	10534.0
MUX10043.WHB7558.unmapped-both-read-and-mate	15.0	567.0	6.0	5.0	nan	3007.0	10111.0
MUX10043.WHB7559.unmapped-both-read-and-mate	14.0	545.0	7.0	13.0	1.0	5062.0	12138.0
MUX10044.WHB7564.unmapped-both-read-and-mate	26.0	582.0	39.0	10.0	3.0	7465.0	13695.0
MUX10044.WHB7565.unmapped-both-read-and-mate	19.0	362.0	4.0	7.0	nan	3271.0	7646.0
MUX10044.WHB7566.unmapped-both-read-and-mate	7.0	515.0	4.0	6.0	nan	1668.0	9209.0
MUX10044.WHB7567.unmapped-both-read-and-mate	29.0	537.0	17.0	13.0	1.0	7063.0	12753.0
MUX10045.WHB7568.unmapped-both-read-and-mate	48.0	467.0	18.0	19.0	nan	7392.0	11247.0
MUX10045.WHB7569.unmapped-both-read-and-mate	34.0	581.0	14.0	18.0	1.0	4444.0	9501.0
MUX10045.WHB7570.unmapped-both-read-and-mate	17.0	544.0	4.0	13.0	1.0	3142.0	8198.0
MUX10045.WHB7576.unmapped-both-read-and-mate	21.0	497.0	10.0	13.0	2.0	3100.0	7419.0
MUX10046.WHB7571.unmapped-both-read-and-mate	5.0	554.0	5.0	8.0	nan	1761.0	8355.0
MUX10046.WHB7573.unmapped-both-read-and-mate	38.0	412.0	23.0	13.0	4.0	7070.0	10996.0
MUX10046.WHB7574.unmapped-both-read-and-mate	16.0	520.0	1.0	3.0	nan	2012.0	7236.0
MUX10046.WHB7575.unmapped-both-read-and-mate	25.0	573.0	10.0	11.0	nan	3834.0	11551.0
MUX10046.WHB7577.unmapped-both-read-and-mate	26.0	566.0	10.0	16.0	1.0	4352.0	10242.0
MUX10047.WHB7578.unmapped-both-read-and-mate	26.0	465.0	12.0	8.0	nan	1612.0	6943.0
MUX10047.WHB7579.unmapped-both-read-and-mate	28.0	443.0	7.0	12.0	1.0	3131.0	7840.0
MUX10047.WHB7580.unmapped-both-read-and-mate	23.0	472.0	4.0	5.0	nan	1940.0	6251.0
MUX10047.WHB7581.unmapped-both-read-and-mate	9.0	435.0	5.0	1.0	nan	1213.0	5789.0
MUX10047.WHB7583.unmapped-both-read-and-mate	23.0	476.0	14.0	15.0	nan	4973.0	9924.0
MUX10048.WHB7586.unmapped-both-read-and-mate	18.0	400.0	13.0	4.0	1.0	2983.0	6821.0
MUX10048.WHB7588.unmapped-both-read-and-mate	10.0	417.0	9.0	5.0	nan	2610.0	6394.0
MUX10048.WHB7589.unmapped-both-read-and-mate	7.0	439.0	4.0	2.0	nan	1541.0	5649.0
MUX10048.WHB7590.unmapped-both-read-and-mate	20.0	473.0	10.0	4.0	nan	2102.0	6267.0
MUX10049.WHB7591.unmapped-both-read-and-mate	17.0	799.0	5.0	9.0	1.0	2950.0	33753.0
MUX10049.WHB7592.unmapped-both-read-and-mate	10.0	831.0	9.0	3.0	nan	2506.0	33364.0
MUX10049.WHB7593.unmapped-both-read-and-mate	14.0	756.0	6.0	4.0	nan	2124.0	33316.0
MUX10049.WHB7594.unmapped-both-read-and-mate	16.0	866.0	8.0	8.0	1.0	2715.0	33112.0
MUX10049.WHB7595.unmapped-both-read-and-mate	14.0	747.0	4.0	6.0	nan	2057.0	30405.0
MUX10050.WHB7597.unmapped-both-read-and-mate	7.0	764.0	3.0	3.0	nan	1360.0	27388.0
MUX10050.WHB7598.unmapped-both-read-and-mate	5.0	866.0	9.0	5.0	1.0	1650.0	32323.0
MUX10050.WHB7599.unmapped-both-read-and-mate	13.0	1075.0	11.0	3.0	nan	2086.0	46940.0
MUX10050.WHB7600.unmapped-both-read-and-mate	20.0	773.0	3.0	11.0	1.0	3173.0	32157.0
MUX10050.WHB7601.unmapped-both-read-and-mate	14.0	1038.0	3.0	5.0	1.0	2034.0	47264.0
MUX10051.WHB7602.unmapped-both-read-and-mate	7.0	956.0	2.0	11.0	nan	2706.0	43549.0
MUX10051.WHB7603.unmapped-both-read-and-mate	18.0	825.0	7.0	4.0	nan	2210.0	34590.0
MUX10051.WHB7604.unmapped-both-read-and-mate	18.0	751.0	6.0	10.0	nan	2758.0	32486.0
MUX10051.WHB7605.unmapped-both-read-and-mate	21.0	838.0	5.0	9.0	nan	2450.0	40892.0
MUX10051.WHB7606.unmapped-both-read-and-mate	14.0	893.0	6.0	5.0	nan	3223.0	42058.0
MUX10052.WHB7607.unmapped-both-read-and-mate	18.0	1100.0	3.0	5.0	nan	2573.0	50920.0
MUX10052.WHB7608.unmapped-both-read-and-mate	12.0	812.0	7.0	1.0	1.0	1337.0	36353.0
MUX10052.WHB7609.unmapped-both-read-and-mate	12.0	710.0	9.0	8.0	nan	2742.0	30109.0
MUX10052.WHB7610.unmapped-both-read-and-mate	21.0	956.0	11.0	3.0	nan	1986.0	43820.0
MUX10052.WHB7611.unmapped-both-read-and-mate	11.0	1247.0	7.0	10.0	nan	3232.0	54444.0
MUX10053.WHB7612.unmapped-both-read-and-mate	11.0	1284.0	7.0	3.0	nan	2315.0	50240.0
MUX10053.WHB7613.unmapped-both-read-and-mate	15.0	1092.0	10.0	4.0	nan	2385.0	44843.0
MUX10053.WHB7614.unmapped-both-read-and-mate	24.0	1365.0	6.0	9.0	1.0	2530.0	54468.0
MUX10053.WHB7616.unmapped-both-read-and-mate	20.0	1135.0	10.0	5.0	nan	4091.0	48598.0
MUX10053.WHB7618.unmapped-both-read-and-mate	14.0	1265.0	8.0	5.0	nan	3041.0	50595.0
MUX10054.WHB7619.unmapped-both-read-and-mate	14.0	765.0	6.0	7.0	nan	5772.0	40523.0
MUX10054.WHB7620.unmapped-both-read-and-mate	71.0	1154.0	6.0	4.0	nan	1931.0	49167.0
MUX10054.WHB7621.unmapped-both-read-and-mate	29.0	1331.0	20.0	8.0	1.0	4251.0	63169.0
MUX10054.WHB7622.unmapped-both-read-and-mate	23.0	1147.0	12.0	14.0	nan	4037.0	46417.0
MUX10054.WHB7623.unmapped-both-read-and-mate	9.0	1029.0	5.0	3.0	nan	1984.0	43353.0
MUX10055.WHB7624.unmapped-both-read-and-mate	47.0	1105.0	18.0	40.0	nan	6993.0	48470.0
MUX10055.WHB7625.unmapped-both-read-and-mate	25.0	1017.0	15.0	8.0	2.0	4453.0	47424.0
MUX10055.WHB7626.unmapped-both-read-and-mate	26.0	1040.0	8.0	3.0	nan	2403.0	43056.0
MUX10055.WHB7627.unmapped-both-read-and-mate	8.0	911.0	12.0	7.0	nan	2478.0	38255.0
MUX10055.WHB7628.unmapped-both-read-and-mate	11.0	843.0	5.0	11.0	nan	2532.0	35319.0
MUX10056.WHB7629.unmapped-both-read-and-mate	12.0	1213.0	9.0	7.0	nan	2189.0	54459.0
MUX10056.WHB7630.unmapped-both-read-and-mate	11.0	866.0	7.0	8.0	nan	2531.0	37306.0
MUX10056.WHB7631.unmapped-both-read-and-mate	5.0	1392.0	6.0	3.0	1.0	2448.0	60993.0
MUX10056.WHB7632.unmapped-both-read-and-mate	17.0	820.0	7.0	8.0	nan	2909.0	33875.0
MUX10057.WHB7634.unmapped-both-read-and-mate	14.0	585.0	2.0	3.0	1.0	1785.0	15173.0
MUX10057.WHB7635.unmapped-both-read-and-mate	14.0	517.0	3.0	3.0	nan	1569.0	13647.0
MUX10057.WHB7636.unmapped-both-read-and-mate	38.0	621.0	7.0	5.0	1.0	3008.0	22606.0
MUX10057.WHB7637.unmapped-both-read-and-mate	14.0	611.0	8.0	6.0	nan	3123.0	18047.0
MUX10057.WHB7638.unmapped-both-read-and-mate	6.0	640.0	4.0	4.0	nan	2168.0	16739.0
MUX10058.WHB7639.unmapped-both-read-and-mate	11.0	536.0	1.0	5.0	nan	1804.0	11675.0
MUX10058.WHB7640.unmapped-both-read-and-mate	18.0	493.0	9.0	11.0	1.0	1769.0	11735.0
MUX10058.WHB7641.unmapped-both-read-and-mate	14.0	526.0	2.0	7.0	nan	2272.0	10980.0
MUX10058.WHB7642.unmapped-both-read-and-mate	11.0	539.0	7.0	2.0	nan	1967.0	10249.0
MUX10058.WHB7643.unmapped-both-read-and-mate	14.0	475.0	3.0	4.0	nan	1629.0	10136.0
MUX10059.WHB7644.unmapped-both-read-and-mate	16.0	427.0	6.0	8.0	2.0	2721.0	9840.0
MUX10059.WHB7645.unmapped-both-read-and-mate	11.0	461.0	7.0	nan	nan	2001.0	8608.0
MUX10059.WHB7646.unmapped-both-read-and-mate	11.0	512.0	7.0	6.0	nan	3334.0	11664.0
MUX10059.WHB7647.unmapped-both-read-and-mate	14.0	439.0	3.0	3.0	nan	2259.0	8058.0
MUX10059.WHB7648.unmapped-both-read-and-mate	8.0	465.0	6.0	2.0	nan	2344.0	10989.0
MUX10060.WHB6580.unmapped-both-read-and-mate	9.0	460.0	1.0	nan	nan	1093.0	10060.0
MUX10060.WHB6581.unmapped-both-read-and-mate	8.0	544.0	3.0	5.0	nan	1561.0	12722.0
MUX10060.WHB6589.unmapped-both-read-and-mate	15.0	714.0	5.0	2.0	nan	1477.0	15592.0
