Sample	Pseudomonadaceae	Sphingomonadaceae	Hominidae	Alcaligenaceae	Bradyrhizobiaceae	Other	Unclassified
MUX4212.WHH2397.unmapped-both-read-and-mate	547700.0	3025.0	676.0	7695.0	2824.0	71444.0	78930.0
MUX4212.WHH2398.unmapped-both-read-and-mate	306989.0	1796.0	610.0	4265.0	1616.0	41932.0	46266.0
MUX4212.WHH2399.unmapped-both-read-and-mate	377013.0	2014.0	880.0	5431.0	2000.0	50802.0	60047.0
MUX4212.WHH2400.unmapped-both-read-and-mate	347081.0	1945.0	716.0	4769.0	1937.0	47862.0	52374.0
MUX4212.WHH2401.unmapped-both-read-and-mate	303640.0	1746.0	682.0	4195.0	1642.0	41628.0	46122.0
MUX4213.WHH2410.unmapped-both-read-and-mate	329016.0	1816.0	877.0	4384.0	1479.0	38868.0	47955.0
MUX5167.WHB586.unmapped-both-read-and-mate	1.0	5.0	371.0	nan	41.0	479.0	7166.0
MUX5167.WHB587.unmapped-both-read-and-mate	2.0	nan	458.0	nan	24.0	270.0	6457.0
MUX5167.WHB589.unmapped-both-read-and-mate	1.0	8.0	394.0	3.0	37.0	419.0	6039.0
MUX5167.WHB590.unmapped-both-read-and-mate	5.0	4.0	522.0	nan	58.0	421.0	6678.0
MUX5167.WHB591.unmapped-both-read-and-mate	1.0	6.0	489.0	2.0	17.0	221.0	6357.0
MUX5167.WHB592.unmapped-both-read-and-mate	47.0	27.0	751.0	nan	11.0	15882.0	46417.0
MUX5167.WHB593.unmapped-both-read-and-mate	10.0	11.0	484.0	nan	121.0	2055.0	10856.0
MUX5167.WHB594.unmapped-both-read-and-mate	2.0	2.0	531.0	1.0	37.0	388.0	6604.0
MUX5168.WHB598.unmapped-both-read-and-mate	3.0	5.0	441.0	nan	17.0	166.0	3972.0
MUX5168.WHB599.unmapped-both-read-and-mate	1.0	5.0	345.0	1.0	15.0	265.0	3609.0
MUX5168.WHB600.unmapped-both-read-and-mate	2.0	5.0	310.0	nan	39.0	410.0	3470.0
MUX5168.WHB602.unmapped-both-read-and-mate	nan	3.0	422.0	1.0	33.0	322.0	3915.0
MUX5168.WHB603.unmapped-both-read-and-mate	1.0	2.0	413.0	1.0	47.0	415.0	4075.0
MUX5168.WHB604.unmapped-both-read-and-mate	1.0	nan	446.0	2.0	38.0	375.0	4421.0
MUX5168.WHB606.unmapped-both-read-and-mate	3.0	9.0	481.0	1.0	45.0	528.0	4545.0
MUX5168.WHB607.unmapped-both-read-and-mate	3.0	9.0	413.0	nan	51.0	419.0	4008.0
MUX5168.WHB608.unmapped-both-read-and-mate	1.0	6.0	338.0	1.0	31.0	412.0	3660.0
MUX5169.WHB609.unmapped-both-read-and-mate	nan	3.0	468.0	nan	23.0	334.0	3911.0
MUX5169.WHB610.unmapped-both-read-and-mate	4.0	6.0	447.0	nan	47.0	495.0	4598.0
MUX5169.WHB611.unmapped-both-read-and-mate	1.0	2.0	490.0	nan	28.0	484.0	4666.0
MUX5169.WHB612.unmapped-both-read-and-mate	2.0	5.0	438.0	nan	20.0	401.0	4218.0
MUX5169.WHB613.unmapped-both-read-and-mate	4.0	3.0	508.0	3.0	72.0	552.0	4542.0
MUX5169.WHB614.unmapped-both-read-and-mate	1.0	2.0	461.0	nan	15.0	324.0	4563.0
MUX5169.WHB615.unmapped-both-read-and-mate	2.0	2.0	355.0	2.0	44.0	396.0	3887.0
MUX5169.WHB618.unmapped-both-read-and-mate	4.0	4.0	427.0	1.0	36.0	383.0	3616.0
MUX5169.WHB620.unmapped-both-read-and-mate	19.0	3.0	409.0	2.0	42.0	406.0	3730.0
MUX5169.WHB623.unmapped-both-read-and-mate	2.0	3.0	384.0	nan	33.0	352.0	4458.0
MUX5170.WHB629.unmapped-both-read-and-mate	nan	1.0	552.0	nan	21.0	391.0	7107.0
MUX5170.WHB630.unmapped-both-read-and-mate	nan	3.0	593.0	nan	38.0	380.0	7431.0
MUX5170.WHB631.unmapped-both-read-and-mate	3.0	3.0	517.0	1.0	15.0	255.0	6463.0
MUX5170.WHB632.unmapped-both-read-and-mate	3.0	2.0	550.0	nan	22.0	1043.0	9069.0
MUX5170.WHB635.unmapped-both-read-and-mate	1.0	2.0	610.0	1.0	14.0	253.0	8085.0
MUX5170.WHB636.unmapped-both-read-and-mate	1.0	2.0	500.0	nan	19.0	345.0	7612.0
MUX5170.WHB642.unmapped-both-read-and-mate	nan	nan	437.0	nan	24.0	219.0	6262.0
MUX5170.WHB644.unmapped-both-read-and-mate	2.0	1.0	514.0	nan	10.0	185.0	7046.0
MUX5170.WHB645.unmapped-both-read-and-mate	5.0	1.0	538.0	nan	19.0	4149.0	7158.0
MUX5171.WHB646.unmapped-both-read-and-mate	2.0	1.0	566.0	1.0	17.0	3888.0	7587.0
MUX5171.WHB647.unmapped-both-read-and-mate	5.0	4.0	524.0	nan	27.0	1338.0	9917.0
MUX5171.WHB648.unmapped-both-read-and-mate	3.0	2.0	557.0	1.0	16.0	344.0	7649.0
MUX5171.WHB649.unmapped-both-read-and-mate	3.0	1.0	532.0	1.0	40.0	379.0	7070.0
MUX5171.WHB650.unmapped-both-read-and-mate	1.0	1.0	301.0	nan	23.0	334.0	6378.0
MUX5171.WHB652.unmapped-both-read-and-mate	2.0	5.0	340.0	nan	19.0	234.0	5624.0
MUX5171.WHB653.unmapped-both-read-and-mate	2.0	1.0	523.0	1.0	25.0	253.0	6606.0
MUX5171.WHB654.unmapped-both-read-and-mate	1.0	4.0	535.0	nan	8.0	197.0	7125.0
MUX5171.WHB655.unmapped-both-read-and-mate	1.0	3.0	485.0	nan	13.0	301.0	6027.0
MUX5171.WHB657.unmapped-both-read-and-mate	5.0	2.0	495.0	nan	22.0	302.0	6493.0
MUX5172.WHB658.unmapped-both-read-and-mate	3.0	4.0	603.0	1.0	24.0	384.0	6842.0
MUX5172.WHB659.unmapped-both-read-and-mate	2.0	4.0	528.0	nan	26.0	372.0	6023.0
MUX5172.WHB660.unmapped-both-read-and-mate	6.0	3.0	578.0	nan	49.0	367.0	6578.0
MUX5172.WHB661.unmapped-both-read-and-mate	4.0	1.0	530.0	nan	17.0	279.0	6771.0
MUX5172.WHB662.unmapped-both-read-and-mate	1.0	6.0	464.0	1.0	20.0	269.0	5682.0
MUX5172.WHB663.unmapped-both-read-and-mate	4.0	1.0	498.0	2.0	35.0	266.0	5803.0
MUX5172.WHB668.unmapped-both-read-and-mate	nan	2.0	504.0	1.0	10.0	322.0	6207.0
MUX5172.WHB669.unmapped-both-read-and-mate	nan	nan	550.0	4.0	37.0	368.0	6861.0
MUX5172.WHB671.unmapped-both-read-and-mate	3.0	4.0	427.0	1.0	25.0	348.0	5181.0
MUX5173.WHB487.unmapped-both-read-and-mate	3.0	6.0	520.0	nan	19.0	459.0	7810.0
MUX5173.WHB488.unmapped-both-read-and-mate	4.0	5.0	509.0	2.0	55.0	648.0	7413.0
MUX5173.WHB489.unmapped-both-read-and-mate	2.0	2.0	446.0	1.0	23.0	280.0	6175.0
MUX5173.WHB490.unmapped-both-read-and-mate	3.0	3.0	538.0	2.0	38.0	523.0	7853.0
MUX5173.WHB672.unmapped-both-read-and-mate	6.0	1.0	553.0	1.0	17.0	520.0	7589.0
MUX5173.WHB673.unmapped-both-read-and-mate	3.0	3.0	524.0	nan	17.0	312.0	6675.0
MUX5173.WHB676.unmapped-both-read-and-mate	2.0	7.0	571.0	nan	54.0	450.0	8530.0
MUX5173.WHB677.unmapped-both-read-and-mate	4.0	2.0	558.0	2.0	27.0	360.0	7826.0
MUX5173.WHB678.unmapped-both-read-and-mate	2.0	1.0	527.0	1.0	24.0	327.0	7947.0
MUX5175.WHB495.unmapped-both-read-and-mate	19.0	5.0	540.0	2.0	30.0	6660.0	21362.0
MUX5175.WHB496.unmapped-both-read-and-mate	9672.0	3.0	366.0	8.0	28.0	394.0	7089.0
MUX5175.WHB497.unmapped-both-read-and-mate	1.0	4.0	403.0	nan	21.0	276.0	5099.0
MUX5175.WHB498.unmapped-both-read-and-mate	3.0	1.0	395.0	nan	16.0	389.0	5102.0
MUX5175.WHB779.unmapped-both-read-and-mate	10.0	nan	433.0	nan	7.0	526.0	5620.0
MUX5175.WHB780.unmapped-both-read-and-mate	3.0	2.0	453.0	nan	11.0	689.0	6868.0
MUX5176.WHB511.unmapped-both-read-and-mate	2.0	5.0	421.0	nan	37.0	446.0	5466.0
MUX5176.WHB512.unmapped-both-read-and-mate	1.0	10.0	385.0	nan	13.0	349.0	4541.0
MUX5176.WHB513.unmapped-both-read-and-mate	1.0	6.0	439.0	1.0	16.0	221.0	4517.0
MUX5177.WHB514.unmapped-both-read-and-mate	3.0	5.0	412.0	1.0	12.0	670.0	3626.0
MUX5177.WHB515.unmapped-both-read-and-mate	8.0	21.0	343.0	3.0	37.0	700.0	4221.0
MUX5177.WHB516.unmapped-both-read-and-mate	3.0	2.0	347.0	nan	61.0	1015.0	3866.0
MUX5177.WHB517.unmapped-both-read-and-mate	5.0	7.0	448.0	1.0	126.0	937.0	4644.0
MUX5177.WHB518.unmapped-both-read-and-mate	5.0	7.0	377.0	nan	42.0	1026.0	3943.0
MUX5177.WHB519.unmapped-both-read-and-mate	5.0	12.0	340.0	6.0	86.0	1124.0	4067.0
MUX5177.WHB520.unmapped-both-read-and-mate	4.0	4.0	378.0	nan	38.0	978.0	4079.0
MUX5177.WHB521.unmapped-both-read-and-mate	8.0	12.0	399.0	nan	77.0	1102.0	4535.0
MUX5177.WHB522.unmapped-both-read-and-mate	34.0	9.0	476.0	1.0	38.0	8348.0	22087.0
MUX5177.WHB523.unmapped-both-read-and-mate	17.0	16.0	455.0	4.0	46.0	4265.0	13309.0
MUX5178.WHB524.unmapped-both-read-and-mate	2.0	nan	442.0	1.0	3.0	150.0	3294.0
MUX5178.WHB525.unmapped-both-read-and-mate	1.0	2.0	343.0	nan	52.0	628.0	4490.0
MUX5178.WHB526.unmapped-both-read-and-mate	2.0	3.0	415.0	nan	31.0	563.0	3662.0
MUX5178.WHB527.unmapped-both-read-and-mate	52.0	15.0	1035.0	6.0	311.0	32442.0	86666.0
MUX5178.WHB528.unmapped-both-read-and-mate	5.0	10.0	366.0	2.0	103.0	993.0	3545.0
MUX5178.WHB529.unmapped-both-read-and-mate	5.0	7.0	343.0	4.0	55.0	842.0	3641.0
MUX5178.WHB530.unmapped-both-read-and-mate	3.0	8.0	349.0	1.0	56.0	729.0	4121.0
MUX5178.WHB531.unmapped-both-read-and-mate	2.0	2.0	320.0	1.0	34.0	356.0	3178.0
MUX5178.WHB532.unmapped-both-read-and-mate	4.0	7.0	319.0	nan	60.0	1171.0	3436.0
MUX5178.WHB533.unmapped-both-read-and-mate	11.0	8.0	357.0	1.0	58.0	940.0	3804.0
MUX5179.WHB534.unmapped-both-read-and-mate	163.0	9.0	2038.0	nan	31.0	106656.0	252481.0
MUX5179.WHB535.unmapped-both-read-and-mate	21.0	9.0	472.0	2.0	25.0	579.0	9544.0
MUX5179.WHB536.unmapped-both-read-and-mate	3.0	6.0	663.0	nan	50.0	552.0	12003.0
MUX5179.WHB537.unmapped-both-read-and-mate	8.0	11.0	492.0	1.0	45.0	663.0	8340.0
MUX5179.WHB538.unmapped-both-read-and-mate	8.0	7.0	599.0	2.0	61.0	751.0	10134.0
MUX5179.WHB539.unmapped-both-read-and-mate	31.0	21.0	857.0	5.0	46.0	1070.0	40895.0
MUX5179.WHB540.unmapped-both-read-and-mate	6.0	2.0	607.0	nan	6.0	312.0	11315.0
MUX5179.WHB541.unmapped-both-read-and-mate	5.0	7.0	418.0	nan	105.0	1365.0	7125.0
MUX5179.WHB542.unmapped-both-read-and-mate	6.0	7.0	539.0	2.0	92.0	733.0	9264.0
MUX5179.WHB543.unmapped-both-read-and-mate	3.0	3.0	409.0	2.0	30.0	506.0	9581.0
MUX5180.WHB544.unmapped-both-read-and-mate	3.0	2.0	503.0	2.0	47.0	451.0	7703.0
MUX5180.WHB545.unmapped-both-read-and-mate	nan	6.0	434.0	nan	27.0	438.0	6798.0
MUX5180.WHB546.unmapped-both-read-and-mate	6.0	4.0	482.0	2.0	21.0	338.0	7927.0
MUX5180.WHB547.unmapped-both-read-and-mate	2.0	4.0	444.0	nan	64.0	837.0	7753.0
MUX5180.WHB548.unmapped-both-read-and-mate	1.0	8.0	528.0	3.0	53.0	714.0	8523.0
MUX5180.WHB549.unmapped-both-read-and-mate	1.0	8.0	569.0	nan	30.0	782.0	8322.0
MUX5180.WHB550.unmapped-both-read-and-mate	5.0	4.0	485.0	3.0	70.0	798.0	8113.0
MUX5180.WHB551.unmapped-both-read-and-mate	1.0	2.0	514.0	1.0	14.0	199.0	8096.0
MUX5180.WHB552.unmapped-both-read-and-mate	3.0	3.0	539.0	nan	56.0	539.0	8424.0
MUX5180.WHB553.unmapped-both-read-and-mate	1.0	6.0	502.0	nan	26.0	613.0	8149.0
MUX5181.WHB554.unmapped-both-read-and-mate	4.0	3.0	393.0	nan	38.0	768.0	5185.0
MUX5181.WHB555.unmapped-both-read-and-mate	3.0	4.0	497.0	1.0	6.0	316.0	6297.0
MUX5181.WHB556.unmapped-both-read-and-mate	4.0	13.0	343.0	3.0	106.0	940.0	5029.0
MUX5181.WHB557.unmapped-both-read-and-mate	3.0	4.0	314.0	3.0	11.0	249.0	4955.0
MUX5181.WHB558.unmapped-both-read-and-mate	4.0	18.0	423.0	nan	44.0	653.0	5593.0
MUX5181.WHB559.unmapped-both-read-and-mate	5.0	3.0	392.0	nan	17.0	317.0	4967.0
MUX5181.WHB560.unmapped-both-read-and-mate	11.0	3.0	377.0	2.0	84.0	1084.0	5525.0
MUX5181.WHB561.unmapped-both-read-and-mate	4.0	8.0	361.0	2.0	50.0	756.0	5131.0
MUX5181.WHB562.unmapped-both-read-and-mate	4.0	5.0	359.0	nan	26.0	383.0	6104.0
MUX5181.WHB563.unmapped-both-read-and-mate	48.0	4.0	458.0	4.0	65.0	1089.0	6652.0
MUX5182.WHB564.unmapped-both-read-and-mate	7.0	8.0	351.0	2.0	58.0	581.0	5795.0
MUX5182.WHB565.unmapped-both-read-and-mate	5.0	2.0	411.0	2.0	69.0	673.0	5889.0
MUX5182.WHB566.unmapped-both-read-and-mate	nan	8.0	545.0	3.0	16.0	456.0	7017.0
MUX5182.WHB567.unmapped-both-read-and-mate	8.0	9.0	450.0	nan	68.0	562.0	6041.0
MUX5182.WHB568.unmapped-both-read-and-mate	5.0	4.0	414.0	3.0	117.0	837.0	6468.0
MUX5182.WHB569.unmapped-both-read-and-mate	4.0	4.0	387.0	2.0	37.0	367.0	6086.0
MUX5182.WHB570.unmapped-both-read-and-mate	4.0	3.0	426.0	nan	34.0	470.0	6053.0
MUX5182.WHB571.unmapped-both-read-and-mate	2.0	2.0	446.0	2.0	42.0	245.0	5729.0
MUX5182.WHB572.unmapped-both-read-and-mate	1.0	1.0	460.0	1.0	15.0	235.0	5875.0
MUX5182.WHB573.unmapped-both-read-and-mate	1.0	2.0	471.0	1.0	17.0	335.0	5923.0
MUX5183.WHB691.unmapped-both-read-and-mate	6.0	3.0	446.0	nan	84.0	224.0	4915.0
MUX5183.WHB692.unmapped-both-read-and-mate	9.0	14.0	396.0	1.0	63.0	190.0	4067.0
MUX5183.WHB693.unmapped-both-read-and-mate	2.0	nan	489.0	5.0	49.0	77.0	4777.0
MUX5183.WHB694.unmapped-both-read-and-mate	7.0	2.0	412.0	1.0	17.0	64.0	3632.0
MUX5183.WHB695.unmapped-both-read-and-mate	nan	nan	442.0	2.0	2.0	34.0	3872.0
MUX5183.WHB696.unmapped-both-read-and-mate	5.0	3.0	432.0	4.0	4.0	206.0	5774.0
MUX5183.WHB697.unmapped-both-read-and-mate	3.0	1.0	446.0	4.0	nan	24.0	4017.0
MUX5183.WHB698.unmapped-both-read-and-mate	10.0	3.0	527.0	1.0	nan	4009.0	15649.0
MUX5183.WHB699.unmapped-both-read-and-mate	31.0	1.0	412.0	nan	nan	51.0	3906.0
MUX5183.WHB700.unmapped-both-read-and-mate	2.0	1.0	539.0	1.0	4.0	45.0	5237.0
MUX5184.WHB701.unmapped-both-read-and-mate	2.0	nan	530.0	nan	nan	32.0	4502.0
MUX5184.WHB702.unmapped-both-read-and-mate	2.0	nan	484.0	2.0	1.0	68.0	4542.0
MUX5184.WHB703.unmapped-both-read-and-mate	37.0	4.0	906.0	4.0	5.0	24755.0	67463.0
MUX5184.WHB704.unmapped-both-read-and-mate	50.0	2.0	900.0	1.0	54.0	26144.0	77202.0
MUX5184.WHB705.unmapped-both-read-and-mate	4.0	nan	413.0	2.0	30.0	109.0	4079.0
MUX5184.WHB706.unmapped-both-read-and-mate	2.0	1.0	427.0	2.0	5.0	52.0	4170.0
MUX5184.WHB707.unmapped-both-read-and-mate	5.0	2.0	465.0	nan	nan	55.0	4600.0
MUX5184.WHB708.unmapped-both-read-and-mate	7.0	nan	420.0	2.0	nan	141.0	4191.0
MUX5184.WHB709.unmapped-both-read-and-mate	21.0	118.0	490.0	3.0	9.0	907.0	6397.0
MUX5184.WHB710.unmapped-both-read-and-mate	nan	nan	440.0	nan	1.0	42.0	4088.0
MUX5185.WHB711.unmapped-both-read-and-mate	nan	nan	445.0	nan	nan	32.0	4117.0
MUX5185.WHB712.unmapped-both-read-and-mate	4.0	nan	453.0	nan	1.0	38.0	4074.0
MUX5185.WHB713.unmapped-both-read-and-mate	2.0	5.0	514.0	nan	2.0	79.0	4396.0
MUX5185.WHB714.unmapped-both-read-and-mate	nan	nan	439.0	nan	nan	14.0	3652.0
MUX5185.WHB715.unmapped-both-read-and-mate	5.0	1.0	456.0	1.0	9.0	163.0	4264.0
MUX5185.WHB716.unmapped-both-read-and-mate	1.0	3.0	443.0	2.0	24.0	80.0	4212.0
MUX5185.WHB717.unmapped-both-read-and-mate	9.0	4.0	497.0	1.0	48.0	145.0	5024.0
MUX5185.WHB720.unmapped-both-read-and-mate	4.0	5.0	355.0	nan	nan	143.0	4503.0
MUX5185.WHB721.unmapped-both-read-and-mate	8.0	1.0	363.0	nan	2.0	60.0	3161.0
MUX5186.WHB722.unmapped-both-read-and-mate	7.0	2.0	407.0	nan	1.0	42.0	4361.0
MUX5186.WHB723.unmapped-both-read-and-mate	28.0	8.0	437.0	10.0	189.0	6087.0	7165.0
MUX5186.WHB724.unmapped-both-read-and-mate	15.0	3.0	394.0	2.0	3.0	307.0	4521.0
MUX5186.WHB725.unmapped-both-read-and-mate	38.0	2.0	991.0	nan	138.0	20384.0	60096.0
MUX5186.WHB726.unmapped-both-read-and-mate	2.0	3.0	440.0	1.0	nan	108.0	4398.0
MUX5186.WHB727.unmapped-both-read-and-mate	4.0	1.0	433.0	2.0	78.0	75.0	4628.0
MUX5186.WHB728.unmapped-both-read-and-mate	2.0	1.0	439.0	2.0	40.0	115.0	4838.0
MUX5186.WHB729.unmapped-both-read-and-mate	1.0	1.0	340.0	1.0	69.0	82.0	3864.0
MUX5186.WHB730.unmapped-both-read-and-mate	4.0	1.0	365.0	nan	nan	56.0	4081.0
MUX5186.WHB732.unmapped-both-read-and-mate	3.0	nan	490.0	2.0	1.0	36.0	5034.0
MUX5187.WHB733.unmapped-both-read-and-mate	121.0	305.0	2750.0	15.0	3.0	74487.0	255286.0
MUX5187.WHB734.unmapped-both-read-and-mate	3.0	5.0	486.0	nan	1.0	94.0	6765.0
MUX5187.WHB735.unmapped-both-read-and-mate	2.0	3.0	470.0	1.0	1.0	1300.0	9675.0
MUX5187.WHB736.unmapped-both-read-and-mate	4.0	2.0	471.0	nan	1.0	93.0	7128.0
MUX5187.WHB737.unmapped-both-read-and-mate	5.0	1.0	488.0	nan	nan	66.0	6111.0
MUX5187.WHB741.unmapped-both-read-and-mate	3.0	nan	409.0	nan	43.0	160.0	6738.0
MUX5187.WHB743.unmapped-both-read-and-mate	2.0	1.0	461.0	nan	nan	54.0	7133.0
MUX5187.WHB744.unmapped-both-read-and-mate	10.0	8.0	545.0	nan	nan	205.0	7992.0
MUX5187.WHB745.unmapped-both-read-and-mate	4.0	nan	521.0	nan	nan	91.0	7650.0
MUX5187.WHB746.unmapped-both-read-and-mate	1.0	2.0	381.0	1.0	1.0	70.0	5835.0
MUX5188.WHB747.unmapped-both-read-and-mate	1.0	2.0	509.0	nan	nan	43.0	6893.0
MUX5188.WHB748.unmapped-both-read-and-mate	nan	1.0	381.0	1.0	nan	42.0	5799.0
MUX5188.WHB749.unmapped-both-read-and-mate	4.0	1.0	463.0	nan	1.0	50.0	7516.0
MUX5188.WHB751.unmapped-both-read-and-mate	10.0	2.0	503.0	3.0	44.0	105.0	6676.0
MUX5188.WHB752.unmapped-both-read-and-mate	2.0	5.0	372.0	3.0	90.0	104.0	6257.0
MUX5188.WHB753.unmapped-both-read-and-mate	nan	4.0	461.0	2.0	33.0	101.0	7193.0
MUX5188.WHB754.unmapped-both-read-and-mate	2.0	2.0	537.0	nan	2.0	70.0	7476.0
MUX5188.WHB755.unmapped-both-read-and-mate	5.0	nan	566.0	nan	nan	31.0	7311.0
MUX5188.WHB756.unmapped-both-read-and-mate	3.0	1.0	429.0	nan	nan	32.0	6937.0
MUX5188.WHB757.unmapped-both-read-and-mate	nan	1.0	293.0	nan	nan	63.0	7235.0
MUX5226.WHB758.unmapped-both-read-and-mate	19.0	2.0	415.0	3.0	nan	2909.0	10086.0
MUX5226.WHB759.unmapped-both-read-and-mate	nan	1.0	431.0	nan	nan	54.0	3519.0
MUX5226.WHB760.unmapped-both-read-and-mate	8.0	nan	411.0	4.0	nan	1386.0	6613.0
MUX5226.WHB761.unmapped-both-read-and-mate	1.0	2.0	357.0	nan	1.0	31.0	3247.0
MUX5226.WHB763.unmapped-both-read-and-mate	5.0	2.0	358.0	1.0	3.0	222.0	3139.0
MUX5226.WHB764.unmapped-both-read-and-mate	8.0	5.0	459.0	1.0	4.0	149.0	4053.0
MUX5226.WHB765.unmapped-both-read-and-mate	13.0	4.0	377.0	2.0	34.0	208.0	3841.0
MUX5226.WHB766.unmapped-both-read-and-mate	nan	3.0	394.0	nan	nan	25.0	3025.0
MUX5226.WHB767.unmapped-both-read-and-mate	nan	nan	395.0	nan	5.0	18.0	3055.0
MUX5227.WHB768.unmapped-both-read-and-mate	3.0	5.0	381.0	1.0	nan	55.0	3080.0
MUX5227.WHB769.unmapped-both-read-and-mate	5.0	5.0	422.0	1.0	nan	83.0	3411.0
MUX5227.WHB770.unmapped-both-read-and-mate	6.0	2.0	395.0	nan	3.0	32.0	3243.0
MUX5227.WHB771.unmapped-both-read-and-mate	3.0	4.0	454.0	nan	nan	23.0	3408.0
MUX5227.WHB772.unmapped-both-read-and-mate	65.0	4.0	406.0	3.0	8.0	317.0	3480.0
MUX5227.WHB773.unmapped-both-read-and-mate	3.0	2.0	383.0	1.0	nan	76.0	3325.0
MUX5227.WHB774.unmapped-both-read-and-mate	3.0	7.0	327.0	nan	nan	54.0	3235.0
MUX5227.WHB775.unmapped-both-read-and-mate	3.0	8.0	356.0	1.0	24.0	63.0	3239.0
MUX5227.WHB776.unmapped-both-read-and-mate	6.0	13.0	327.0	1.0	14.0	84.0	3738.0
MUX5227.WHB778.unmapped-both-read-and-mate	9.0	3.0	420.0	nan	22.0	1108.0	5959.0
MUX5228.WHB574.unmapped-both-read-and-mate	8.0	2.0	296.0	nan	11.0	144.0	3140.0
MUX5228.WHB575.unmapped-both-read-and-mate	6.0	7.0	257.0	1.0	108.0	1065.0	4540.0
MUX5228.WHB576.unmapped-both-read-and-mate	5.0	1.0	297.0	nan	11.0	170.0	3053.0
MUX5228.WHB577.unmapped-both-read-and-mate	4.0	6.0	295.0	3.0	11.0	239.0	2708.0
MUX5228.WHB578.unmapped-both-read-and-mate	1.0	nan	418.0	1.0	13.0	211.0	3431.0
MUX5228.WHB579.unmapped-both-read-and-mate	28.0	75.0	380.0	11.0	237.0	4834.0	13995.0
MUX5228.WHB580.unmapped-both-read-and-mate	1.0	nan	352.0	nan	15.0	263.0	3054.0
MUX5228.WHB581.unmapped-both-read-and-mate	1.0	nan	328.0	2.0	7.0	132.0	3690.0
MUX5228.WHB582.unmapped-both-read-and-mate	2.0	nan	318.0	nan	17.0	241.0	3109.0
MUX5228.WHB679.unmapped-both-read-and-mate	16.0	55.0	901.0	6.0	115.0	1448.0	117159.0
MUX5229.WHB680.unmapped-both-read-and-mate	2.0	1.0	426.0	nan	30.0	40.0	4064.0
MUX5229.WHB681.unmapped-both-read-and-mate	2.0	1.0	331.0	nan	45.0	65.0	3223.0
MUX5229.WHB682.unmapped-both-read-and-mate	5.0	3.0	380.0	2.0	nan	1387.0	6335.0
MUX5229.WHB683.unmapped-both-read-and-mate	3.0	1.0	342.0	1.0	nan	43.0	3098.0
MUX5229.WHB684.unmapped-both-read-and-mate	17.0	12.0	348.0	2.0	2.0	516.0	3561.0
MUX5229.WHB686.unmapped-both-read-and-mate	2.0	1.0	328.0	nan	1.0	42.0	3195.0
MUX5229.WHB689.unmapped-both-read-and-mate	9.0	2.0	365.0	2.0	4.0	129.0	3448.0
MUX5229.WHB787.unmapped-both-read-and-mate	1.0	2.0	245.0	2.0	8.0	30.0	2825.0
MUX5230.WHB777.unmapped-both-read-and-mate	5.0	nan	554.0	nan	7.0	36.0	10486.0
MUX5230.WHB781.unmapped-both-read-and-mate	4.0	2.0	637.0	2.0	6.0	456.0	12806.0
MUX5230.WHB783.unmapped-both-read-and-mate	894.0	17.0	687.0	3.0	16.0	571.0	13998.0
MUX5230.WHB784.unmapped-both-read-and-mate	1.0	1.0	558.0	1.0	14.0	58.0	9197.0
MUX5230.WHB786.unmapped-both-read-and-mate	7.0	5.0	646.0	1.0	21.0	351.0	13519.0
MUX5230.WHB788.unmapped-both-read-and-mate	6.0	2.0	789.0	2.0	35.0	69.0	14292.0
MUX5230.WHB789.unmapped-both-read-and-mate	4.0	4.0	704.0	2.0	21.0	83.0	12687.0
MUX5230.WHB791.unmapped-both-read-and-mate	2.0	4.0	711.0	nan	18.0	49.0	13951.0
MUX5230.WHB792.unmapped-both-read-and-mate	7.0	86.0	700.0	2.0	136.0	117.0	13627.0
MUX5231.WHB793.unmapped-both-read-and-mate	4.0	3.0	454.0	1.0	41.0	66.0	8097.0
MUX5231.WHB794.unmapped-both-read-and-mate	2.0	3.0	401.0	1.0	18.0	93.0	7927.0
MUX5231.WHB795.unmapped-both-read-and-mate	2.0	4.0	415.0	4.0	69.0	67.0	8175.0
MUX5231.WHB798.unmapped-both-read-and-mate	4.0	4.0	642.0	3.0	57.0	107.0	11494.0
MUX5231.WHB799.unmapped-both-read-and-mate	8.0	4.0	603.0	nan	8.0	89.0	9086.0
MUX5231.WHB801.unmapped-both-read-and-mate	2.0	2.0	563.0	nan	19.0	38.0	8506.0
MUX5231.WHB802.unmapped-both-read-and-mate	4.0	nan	606.0	nan	19.0	66.0	9643.0
MUX5231.WHB803.unmapped-both-read-and-mate	6.0	1.0	587.0	nan	8.0	53.0	10812.0
MUX5232.WHB805.unmapped-both-read-and-mate	nan	12.0	526.0	nan	18.0	254.0	8508.0
MUX5232.WHB806.unmapped-both-read-and-mate	2.0	4.0	499.0	nan	12.0	1125.0	9154.0
MUX5232.WHB807.unmapped-both-read-and-mate	8.0	4.0	464.0	1.0	12.0	45.0	7355.0
MUX5232.WHB808.unmapped-both-read-and-mate	nan	nan	517.0	nan	4.0	38.0	7554.0
MUX5232.WHB809.unmapped-both-read-and-mate	3.0	3.0	593.0	nan	14.0	39.0	8374.0
MUX5232.WHB810.unmapped-both-read-and-mate	6.0	22.0	463.0	1.0	18.0	336.0	7682.0
MUX5232.WHB811.unmapped-both-read-and-mate	7.0	1.0	495.0	2.0	5.0	64.0	7269.0
MUX5232.WHB813.unmapped-both-read-and-mate	1.0	3.0	479.0	1.0	26.0	78.0	7909.0
