Sample	Pseudomonadaceae	Sphingomonadaceae	Hominidae	Alcaligenaceae	Bradyrhizobiaceae	Other	Unclassified
MUX10024.WHB6501.unmapped-both-read-and-mate	12.0	15.0	527.0	3.0	1171.0	369.0	11655.0
MUX10024.WHB6502.unmapped-both-read-and-mate	12.0	21.0	517.0	5.0	1363.0	395.0	10896.0
MUX10025.WHB6503.unmapped-both-read-and-mate	22.0	44.0	511.0	5.0	2734.0	846.0	8346.0
MUX10025.WHB6504.unmapped-both-read-and-mate	24.0	59.0	535.0	6.0	3420.0	966.0	8596.0
MUX10025.WHB6506.unmapped-both-read-and-mate	8.0	29.0	447.0	7.0	1401.0	436.0	5971.0
MUX10025.WHB6509.unmapped-both-read-and-mate	12.0	24.0	398.0	5.0	1472.0	435.0	5923.0
MUX10025.WHB6514.unmapped-both-read-and-mate	12.0	22.0	448.0	2.0	1092.0	351.0	6655.0
MUX10026.WHB6505.unmapped-both-read-and-mate	25.0	26.0	623.0	4.0	1321.0	501.0	8131.0
MUX10026.WHB6510.unmapped-both-read-and-mate	7.0	25.0	435.0	8.0	1049.0	341.0	5619.0
MUX10026.WHB6511.unmapped-both-read-and-mate	9.0	17.0	466.0	3.0	1109.0	378.0	5730.0
MUX10026.WHB6513.unmapped-both-read-and-mate	18.0	30.0	575.0	5.0	1236.0	443.0	7221.0
MUX10027.WHB6515.unmapped-both-read-and-mate	14.0	23.0	625.0	3.0	1205.0	467.0	7816.0
MUX10027.WHB6516.unmapped-both-read-and-mate	13.0	17.0	578.0	2.0	1125.0	343.0	7461.0
MUX10027.WHB6517.unmapped-both-read-and-mate	38.0	42.0	657.0	27.0	1490.0	1283.0	9799.0
MUX10027.WHB6518.unmapped-both-read-and-mate	19.0	22.0	628.0	3.0	1321.0	446.0	8198.0
MUX10027.WHB6519.unmapped-both-read-and-mate	9.0	15.0	552.0	2.0	1221.0	394.0	6920.0
MUX10028.WHB6520.unmapped-both-read-and-mate	11.0	20.0	430.0	3.0	1383.0	425.0	6102.0
MUX10028.WHB6521.unmapped-both-read-and-mate	21.0	17.0	344.0	3.0	1016.0	404.0	4483.0
MUX10028.WHB6522.unmapped-both-read-and-mate	21.0	12.0	312.0	4.0	1068.0	318.0	4488.0
MUX10028.WHB6523.unmapped-both-read-and-mate	11.0	16.0	430.0	3.0	1419.0	517.0	5491.0
MUX10028.WHB6524.unmapped-both-read-and-mate	10.0	29.0	372.0	2.0	1169.0	369.0	4658.0
