Sample	Metazoa	Other	Unclassified
MUX5299.WHH4933.unmapped-both-read-and-mate	462.0	18.0	6204.0
MUX5300.WHH4939.unmapped-both-read-and-mate	423.0	47.0	5550.0
MUX5301.WHB829.unmapped-both-read-and-mate	352.0	202.0	4891.0
MUX5301.WHB859.unmapped-both-read-and-mate	420.0	121.0	4945.0
MUX5301.WHH5002.unmapped-both-read-and-mate	567.0	81.0	6288.0
MUX5303.WHH5035.unmapped-both-read-and-mate	854.0	7517.0	31380.0
MUX5304.WHH5077.unmapped-both-read-and-mate	549.0	3977.0	9154.0
MUX5305.WHH4949.unmapped-both-read-and-mate	493.0	30.0	7443.0
MUX5306.WHH4953.unmapped-both-read-and-mate	458.0	29.0	7311.0
MUX5306.WHH4957.unmapped-both-read-and-mate	478.0	25.0	6658.0
MUX5310.WHH4978.unmapped-both-read-and-mate	406.0	42.0	3742.0
MUX5310.WHH4979.unmapped-both-read-and-mate	440.0	52.0	4083.0
MUX5310.WHH4980.unmapped-both-read-and-mate	408.0	25.0	4091.0
MUX5310.WHH4987.unmapped-both-read-and-mate	331.0	36.0	3302.0
MUX5311.WHB876.unmapped-both-read-and-mate	328.0	3829.0	3729.0
MUX5311.WHB879.unmapped-both-read-and-mate	1776.0	60673.0	179386.0
MUX5311.WHB880.unmapped-both-read-and-mate	1927.0	60029.0	182826.0
MUX5312.WHB904.unmapped-both-read-and-mate	415.0	6249.0	5226.0
MUX5312.WHH4990.unmapped-both-read-and-mate	376.0	407.0	3817.0
MUX5323.WHB742.unmapped-both-read-and-mate	690.0	122.0	12159.0
MUX5325.WHH4897.unmapped-both-read-and-mate	722.0	875.0	12708.0
MUX5328.WHB907.unmapped-both-read-and-mate	334.0	9590.0	4938.0
MUX5328.WHB913.unmapped-both-read-and-mate	334.0	7876.0	3968.0
MUX5328.WHB914.unmapped-both-read-and-mate	373.0	1394.0	3700.0
MUX5330.WHB929.unmapped-both-read-and-mate	426.0	4145.0	5499.0
MUX5331.WHB942.unmapped-both-read-and-mate	396.0	1032.0	4204.0
MUX5331.WHB943.unmapped-both-read-and-mate	400.0	1407.0	4378.0
MUX5339.WHB951.unmapped-both-read-and-mate	642.0	4741.0	11855.0
MUX5340.WHB962.unmapped-both-read-and-mate	623.0	493.0	9875.0
MUX5341.WHB969.unmapped-both-read-and-mate	468.0	570.0	8272.0
MUX5341.WHB975.unmapped-both-read-and-mate	562.0	1278.0	10428.0
MUX5341.WHB979.unmapped-both-read-and-mate	605.0	1014.0	9941.0
MUX5344.WHB997.unmapped-both-read-and-mate	342.0	13587.0	6172.0
MUX5347.WHB1023.unmapped-both-read-and-mate	315.0	1472.0	3561.0
MUX5349.WHB1048.unmapped-both-read-and-mate	418.0	838.0	4833.0
MUX5849.WHB1082.unmapped-both-read-and-mate	352.0	1174.0	4369.0
MUX5850.WHB1086.unmapped-both-read-and-mate	407.0	998.0	3583.0
MUX5851.WHB1093.unmapped-both-read-and-mate	395.0	3322.0	4481.0
MUX5851.WHB1094.unmapped-both-read-and-mate	381.0	1617.0	3928.0
