Sample	Pseudomonadaceae	Hominidae	Sphingomonadaceae	Burkholderiaceae	Alcaligenaceae	Other	Unclassified
MUX10681.WHB11014.unmapped-both-read-and-mate	234.0	613.0	27912.0	396.0	66.0	13740.0	48884.0
MUX10685.WHB11036.unmapped-both-read-and-mate	240.0	481.0	31727.0	509.0	87.0	16223.0	53765.0
MUX10691.WHB11068.unmapped-both-read-and-mate	147.0	458.0	10045.0	3249.0	51.0	6577.0	18460.0
MUX10701.WHB10905.unmapped-both-read-and-mate	897.0	618.0	12865.0	169.0	32.0	6711.0	38776.0
MUX10704.WHB10923.unmapped-both-read-and-mate	452.0	586.0	13594.0	196.0	45.0	6556.0	38707.0
MUX10706.WHB10925.unmapped-both-read-and-mate	868.0	450.0	36889.0	672.0	103.0	17554.0	52232.0
MUX10712.WHB10956.unmapped-both-read-and-mate	628.0	490.0	10266.0	222.0	42.0	7784.0	20906.0
MUX10745.WHB11102.unmapped-both-read-and-mate	244.0	388.0	12150.0	265.0	35.0	7011.0	21226.0
MUX10762.WHB8517.unmapped-both-read-and-mate	15.0	544.0	3014.0	30.0	9.0	952.0	19522.0
MUX3275.WHH429.unmapped-both-read-and-mate	8.0	1065.0	nan	18.0	nan	19.0	6757.0
MUX3275.WHH520.unmapped-both-read-and-mate	11.0	772.0	nan	18.0	nan	29.0	4937.0
MUX3316.WHH533.unmapped-both-read-and-mate	20.0	769.0	nan	30.0	nan	45.0	4670.0
MUX3316.WHH550.unmapped-both-read-and-mate	7.0	677.0	1.0	27.0	nan	46.0	4486.0
MUX3316.WHH552.unmapped-both-read-and-mate	13.0	932.0	1.0	35.0	nan	50.0	6090.0
MUX3316.WHH559.unmapped-both-read-and-mate	11.0	768.0	1.0	33.0	nan	38.0	5292.0
MUX3316.WHH591.unmapped-both-read-and-mate	11.0	808.0	nan	18.0	nan	58.0	4686.0
MUX3316.WHH608.unmapped-both-read-and-mate	6.0	665.0	nan	31.0	nan	34.0	4118.0
MUX3316.WHH609.unmapped-both-read-and-mate	10.0	813.0	3.0	43.0	nan	44.0	5045.0
MUX3316.WHH612.unmapped-both-read-and-mate	9.0	866.0	nan	27.0	nan	42.0	5612.0
MUX3316.WHH617.unmapped-both-read-and-mate	13.0	673.0	nan	29.0	nan	32.0	4459.0
MUX3316.WHH620.unmapped-both-read-and-mate	11.0	671.0	nan	41.0	nan	53.0	4342.0
MUX3359.WHH635.unmapped-both-read-and-mate	9.0	610.0	3.0	29.0	nan	62.0	4545.0
MUX3359.WHH636.unmapped-both-read-and-mate	3.0	619.0	nan	30.0	nan	42.0	3942.0
MUX3359.WHH675.unmapped-both-read-and-mate	15.0	546.0	1.0	20.0	nan	19.0	3625.0
MUX3359.WHH687.unmapped-both-read-and-mate	4.0	649.0	5.0	18.0	nan	33.0	3803.0
MUX3381.WHH718.unmapped-both-read-and-mate	13.0	693.0	3.0	18.0	nan	66.0	5015.0
MUX3381.WHH728.unmapped-both-read-and-mate	19.0	812.0	3.0	44.0	nan	46.0	5360.0
MUX3381.WHH732.unmapped-both-read-and-mate	12.0	670.0	3.0	46.0	1.0	74.0	4502.0
MUX3381.WHH758.unmapped-both-read-and-mate	7.0	750.0	3.0	7.0	1.0	46.0	5369.0
MUX3381.WHH761.unmapped-both-read-and-mate	12.0	775.0	1.0	12.0	1.0	28.0	4882.0
MUX3381.WHH771.unmapped-both-read-and-mate	56.0	678.0	8.0	23.0	nan	45.0	5006.0
MUX3381.WHH772.unmapped-both-read-and-mate	40.0	772.0	7.0	24.0	nan	55.0	5373.0
MUX3381.WHH782.unmapped-both-read-and-mate	6.0	787.0	4.0	27.0	1.0	92.0	5135.0
MUX3434.WHH839.unmapped-both-read-and-mate	8.0	722.0	3.0	15.0	nan	56.0	4499.0
MUX3434.WHH849.unmapped-both-read-and-mate	16.0	766.0	4.0	33.0	nan	58.0	4566.0
MUX3434.WHH860.unmapped-both-read-and-mate	9.0	862.0	1.0	17.0	1.0	26.0	5397.0
MUX3434.WHH868.unmapped-both-read-and-mate	31.0	763.0	nan	31.0	3.0	63.0	5346.0
MUX3434.WHH872.unmapped-both-read-and-mate	31.0	887.0	3.0	33.0	2.0	52.0	5862.0
MUX3529.WHH942.unmapped-both-read-and-mate	32.0	657.0	1.0	40.0	nan	126.0	4202.0
MUX3529.WHH966.unmapped-both-read-and-mate	18.0	708.0	1.0	28.0	nan	54.0	4779.0
MUX3529.WHH981.unmapped-both-read-and-mate	25.0	793.0	2.0	46.0	4.0	104.0	5008.0
MUX3529.WHH987.unmapped-both-read-and-mate	9.0	777.0	2.0	43.0	2.0	98.0	4595.0
MUX3529.WHH999.unmapped-both-read-and-mate	15.0	654.0	2.0	24.0	1.0	53.0	4206.0
MUX3936.WHH1096.unmapped-both-read-and-mate	32.0	716.0	3.0	30.0	nan	180.0	4808.0
MUX3936.WHH1097.unmapped-both-read-and-mate	11.0	669.0	nan	15.0	nan	31.0	4181.0
MUX3936.WHH1122.unmapped-both-read-and-mate	16.0	747.0	4.0	3.0	nan	43.0	4306.0
MUX3936.WHH1136.unmapped-both-read-and-mate	91.0	803.0	16.0	3094.0	58.0	920.0	7809.0
MUX3936.WHH1147.unmapped-both-read-and-mate	121.0	594.0	29.0	7046.0	112.0	2183.0	9412.0
MUX3949.WHH1158.unmapped-both-read-and-mate	3.0	763.0	nan	17.0	nan	28.0	3942.0
MUX3949.WHH1190.unmapped-both-read-and-mate	2.0	718.0	3.0	91.0	nan	43.0	4294.0
MUX3949.WHH1197.unmapped-both-read-and-mate	23.0	844.0	1.0	1936.0	15.0	404.0	5290.0
MUX3949.WHH1237.unmapped-both-read-and-mate	2.0	673.0	2.0	22.0	nan	60.0	3813.0
MUX3949.WHH1248.unmapped-both-read-and-mate	300.0	699.0	25.0	3550.0	31.0	4944.0	6478.0
MUX3949.WHH1249.unmapped-both-read-and-mate	34.0	673.0	5.0	2710.0	18.0	553.0	5258.0
MUX3969.WHH1253.unmapped-both-read-and-mate	15.0	586.0	3.0	18.0	3.0	133.0	4465.0
MUX3969.WHH1276.unmapped-both-read-and-mate	26.0	678.0	4.0	32.0	4.0	159.0	4710.0
MUX3969.WHH1284.unmapped-both-read-and-mate	10.0	685.0	11.0	62.0	5.0	214.0	5017.0
MUX3969.WHH1291.unmapped-both-read-and-mate	12.0	685.0	17.0	75.0	6.0	202.0	4997.0
MUX3969.WHH1294.unmapped-both-read-and-mate	8.0	697.0	2.0	32.0	4.0	80.0	4988.0
MUX3969.WHH1302.unmapped-both-read-and-mate	169.0	731.0	37.0	68.0	6.0	5418.0	6703.0
MUX3969.WHH1303.unmapped-both-read-and-mate	41.0	596.0	12.0	56.0	2.0	177.0	4518.0
MUX3969.WHH1319.unmapped-both-read-and-mate	8.0	752.0	nan	15.0	3.0	66.0	4929.0
MUX3969.WHH1321.unmapped-both-read-and-mate	10.0	730.0	8.0	38.0	nan	98.0	4704.0
MUX3969.WHH1324.unmapped-both-read-and-mate	3.0	720.0	1.0	13.0	nan	100.0	5286.0
MUX3969.WHH1329.unmapped-both-read-and-mate	33.0	665.0	11.0	36.0	2.0	401.0	4365.0
MUX3969.WHH1342.unmapped-both-read-and-mate	21.0	645.0	7.0	26.0	1.0	140.0	4832.0
MUX3969.WHH1343.unmapped-both-read-and-mate	23.0	762.0	5.0	52.0	nan	164.0	5414.0
MUX3971.WHH1351.unmapped-both-read-and-mate	30.0	625.0	9.0	2210.0	11.0	460.0	5440.0
MUX3971.WHH1385.unmapped-both-read-and-mate	35.0	677.0	10.0	2926.0	15.0	466.0	6501.0
MUX3971.WHH1398.unmapped-both-read-and-mate	80.0	731.0	13.0	5008.0	23.0	736.0	7449.0
