Sample	Pseudomonas	Homo	Ralstonia	Alcaligenes	Sphingomonas	Other	Unclassified
MUX10681.WHB11014.unmapped-both-read-and-mate	224.0	613.0	35.0	nan	14346.0	27743.0	48884.0
MUX10685.WHB11036.unmapped-both-read-and-mate	236.0	481.0	28.0	1.0	16330.0	32191.0	53765.0
MUX10691.WHB11068.unmapped-both-read-and-mate	146.0	458.0	2830.0	3.0	4904.0	12186.0	18460.0
MUX10701.WHB10905.unmapped-both-read-and-mate	896.0	618.0	14.0	nan	6707.0	13057.0	38776.0
MUX10704.WHB10923.unmapped-both-read-and-mate	448.0	586.0	8.0	nan	7277.0	13110.0	38707.0
MUX10706.WHB10925.unmapped-both-read-and-mate	858.0	450.0	89.0	1.0	19178.0	35960.0	52232.0
MUX10712.WHB10956.unmapped-both-read-and-mate	625.0	490.0	62.0	nan	5441.0	12814.0	20906.0
MUX10745.WHB11102.unmapped-both-read-and-mate	239.0	388.0	28.0	nan	6079.0	13359.0	21226.0
MUX10762.WHB8517.unmapped-both-read-and-mate	15.0	544.0	1.0	nan	1019.0	2985.0	19522.0
MUX3275.WHH429.unmapped-both-read-and-mate	8.0	1065.0	15.0	nan	nan	22.0	6757.0
MUX3275.WHH520.unmapped-both-read-and-mate	11.0	772.0	16.0	nan	nan	31.0	4937.0
MUX3316.WHH533.unmapped-both-read-and-mate	20.0	769.0	24.0	nan	nan	51.0	4670.0
MUX3316.WHH550.unmapped-both-read-and-mate	7.0	677.0	23.0	nan	1.0	50.0	4486.0
MUX3316.WHH552.unmapped-both-read-and-mate	13.0	932.0	29.0	nan	1.0	56.0	6090.0
MUX3316.WHH559.unmapped-both-read-and-mate	11.0	768.0	27.0	nan	nan	45.0	5292.0
MUX3316.WHH591.unmapped-both-read-and-mate	11.0	808.0	15.0	nan	nan	61.0	4686.0
MUX3316.WHH608.unmapped-both-read-and-mate	6.0	665.0	25.0	nan	nan	40.0	4118.0
MUX3316.WHH609.unmapped-both-read-and-mate	10.0	813.0	33.0	nan	3.0	54.0	5045.0
MUX3316.WHH612.unmapped-both-read-and-mate	9.0	866.0	19.0	nan	nan	50.0	5612.0
MUX3316.WHH617.unmapped-both-read-and-mate	12.0	673.0	23.0	nan	nan	39.0	4459.0
MUX3316.WHH620.unmapped-both-read-and-mate	11.0	671.0	28.0	nan	nan	66.0	4342.0
MUX3359.WHH635.unmapped-both-read-and-mate	9.0	610.0	22.0	nan	3.0	69.0	4545.0
MUX3359.WHH636.unmapped-both-read-and-mate	3.0	619.0	25.0	nan	nan	47.0	3942.0
MUX3359.WHH675.unmapped-both-read-and-mate	15.0	546.0	16.0	nan	1.0	23.0	3625.0
MUX3359.WHH687.unmapped-both-read-and-mate	4.0	649.0	16.0	nan	5.0	35.0	3803.0
MUX3381.WHH718.unmapped-both-read-and-mate	13.0	693.0	14.0	nan	3.0	70.0	5015.0
MUX3381.WHH728.unmapped-both-read-and-mate	19.0	812.0	31.0	nan	3.0	59.0	5360.0
MUX3381.WHH732.unmapped-both-read-and-mate	12.0	670.0	39.0	nan	3.0	82.0	4502.0
MUX3381.WHH758.unmapped-both-read-and-mate	7.0	750.0	7.0	nan	3.0	47.0	5369.0
MUX3381.WHH761.unmapped-both-read-and-mate	12.0	775.0	12.0	nan	1.0	29.0	4882.0
MUX3381.WHH771.unmapped-both-read-and-mate	56.0	678.0	19.0	nan	8.0	49.0	5006.0
MUX3381.WHH772.unmapped-both-read-and-mate	40.0	772.0	17.0	nan	7.0	62.0	5373.0
MUX3381.WHH782.unmapped-both-read-and-mate	6.0	787.0	23.0	nan	4.0	97.0	5135.0
MUX3434.WHH839.unmapped-both-read-and-mate	8.0	722.0	11.0	nan	3.0	60.0	4499.0
MUX3434.WHH849.unmapped-both-read-and-mate	15.0	766.0	28.0	nan	4.0	64.0	4566.0
MUX3434.WHH860.unmapped-both-read-and-mate	9.0	862.0	16.0	nan	nan	29.0	5397.0
MUX3434.WHH868.unmapped-both-read-and-mate	31.0	763.0	25.0	nan	nan	72.0	5346.0
MUX3434.WHH872.unmapped-both-read-and-mate	31.0	887.0	26.0	nan	3.0	61.0	5862.0
MUX3529.WHH942.unmapped-both-read-and-mate	32.0	657.0	26.0	nan	1.0	140.0	4202.0
MUX3529.WHH966.unmapped-both-read-and-mate	18.0	708.0	19.0	nan	1.0	63.0	4779.0
MUX3529.WHH981.unmapped-both-read-and-mate	25.0	793.0	31.0	nan	1.0	124.0	5008.0
MUX3529.WHH987.unmapped-both-read-and-mate	9.0	777.0	38.0	nan	2.0	105.0	4595.0
MUX3529.WHH999.unmapped-both-read-and-mate	15.0	654.0	18.0	nan	1.0	61.0	4206.0
MUX3936.WHH1096.unmapped-both-read-and-mate	32.0	716.0	23.0	nan	2.0	188.0	4808.0
MUX3936.WHH1097.unmapped-both-read-and-mate	11.0	669.0	11.0	nan	nan	35.0	4181.0
MUX3936.WHH1122.unmapped-both-read-and-mate	16.0	747.0	nan	nan	4.0	46.0	4306.0
MUX3936.WHH1136.unmapped-both-read-and-mate	90.0	803.0	2697.0	20.0	12.0	1360.0	7809.0
MUX3936.WHH1147.unmapped-both-read-and-mate	121.0	594.0	6236.0	44.0	15.0	3075.0	9412.0
MUX3949.WHH1158.unmapped-both-read-and-mate	3.0	763.0	13.0	nan	nan	32.0	3942.0
MUX3949.WHH1190.unmapped-both-read-and-mate	2.0	718.0	83.0	nan	nan	54.0	4294.0
MUX3949.WHH1197.unmapped-both-read-and-mate	23.0	844.0	1769.0	nan	nan	587.0	5290.0
MUX3949.WHH1237.unmapped-both-read-and-mate	2.0	673.0	7.0	nan	nan	77.0	3813.0
MUX3949.WHH1248.unmapped-both-read-and-mate	299.0	699.0	3216.0	1.0	13.0	5321.0	6478.0
MUX3949.WHH1249.unmapped-both-read-and-mate	33.0	673.0	2453.0	nan	2.0	832.0	5258.0
MUX3969.WHH1253.unmapped-both-read-and-mate	14.0	586.0	3.0	nan	3.0	152.0	4465.0
MUX3969.WHH1276.unmapped-both-read-and-mate	26.0	678.0	4.0	nan	2.0	193.0	4710.0
MUX3969.WHH1284.unmapped-both-read-and-mate	9.0	685.0	8.0	nan	2.0	283.0	5017.0
MUX3969.WHH1291.unmapped-both-read-and-mate	12.0	685.0	19.0	2.0	14.0	265.0	4997.0
MUX3969.WHH1294.unmapped-both-read-and-mate	8.0	697.0	4.0	nan	nan	114.0	4988.0
MUX3969.WHH1302.unmapped-both-read-and-mate	168.0	731.0	7.0	nan	25.0	5498.0	6703.0
MUX3969.WHH1303.unmapped-both-read-and-mate	41.0	596.0	7.0	nan	3.0	237.0	4518.0
MUX3969.WHH1319.unmapped-both-read-and-mate	8.0	752.0	2.0	nan	nan	82.0	4929.0
MUX3969.WHH1321.unmapped-both-read-and-mate	10.0	730.0	11.0	nan	6.0	127.0	4704.0
MUX3969.WHH1324.unmapped-both-read-and-mate	3.0	720.0	6.0	nan	nan	108.0	5286.0
MUX3969.WHH1329.unmapped-both-read-and-mate	30.0	665.0	2.0	nan	5.0	446.0	4365.0
MUX3969.WHH1342.unmapped-both-read-and-mate	21.0	645.0	7.0	nan	2.0	165.0	4832.0
MUX3969.WHH1343.unmapped-both-read-and-mate	23.0	762.0	8.0	nan	3.0	210.0	5414.0
MUX3971.WHH1351.unmapped-both-read-and-mate	29.0	625.0	1828.0	1.0	4.0	858.0	5440.0
MUX3971.WHH1385.unmapped-both-read-and-mate	34.0	677.0	2372.0	1.0	2.0	1043.0	6501.0
MUX3971.WHH1398.unmapped-both-read-and-mate	78.0	731.0	4099.0	nan	6.0	1677.0	7449.0
MUX3971.WHH1401.unmapped-both-read-and-mate	36.0	662.0	1573.0	nan	2.0	703.0	5635.0
MUX3971.WHH1403.unmapped-both-read-and-mate	134.0	722.0	6091.0	1.0	13.0	2471.0	9581.0
MUX3971.WHH1423.unmapped-both-read-and-mate	14.0	572.0	13.0	nan	2.0	169.0	4481.0
MUX3971.WHH1439.unmapped-both-read-and-mate	73.0	697.0	3392.0	29.0	7.0	1536.0	7860.0
MUX4050.WHH1462.unmapped-both-read-and-mate	47.0	656.0	2452.0	nan	5.0	3073.0	5372.0
MUX4050.WHH1493.unmapped-both-read-and-mate	6.0	899.0	150.0	nan	10.0	108.0	5419.0
MUX4050.WHH1507.unmapped-both-read-and-mate	64.0	786.0	2803.0	nan	7.0	897.0	6049.0
MUX4050.WHH1511.unmapped-both-read-and-mate	18.0	800.0	1257.0	nan	4.0	507.0	6084.0
MUX4050.WHH1512.unmapped-both-read-and-mate	30.0	754.0	1693.0	nan	3.0	533.0	5152.0
MUX4050.WHH1513.unmapped-both-read-and-mate	21.0	648.0	1350.0	nan	5.0	485.0	4663.0
MUX4050.WHH1536.unmapped-both-read-and-mate	10.0	715.0	3.0	nan	3.0	182.0	4922.0
MUX4068.WHH1580.unmapped-both-read-and-mate	7.0	616.0	6.0	nan	9.0	233.0	4566.0
MUX4068.WHH1584.unmapped-both-read-and-mate	22.0	711.0	6.0	nan	8.0	157.0	5044.0
MUX4068.WHH1587.unmapped-both-read-and-mate	27.0	691.0	12.0	nan	7.0	326.0	5413.0
MUX4068.WHH1603.unmapped-both-read-and-mate	16.0	604.0	1.0	nan	1.0	98.0	4245.0
MUX4068.WHH1614.unmapped-both-read-and-mate	79.0	730.0	5250.0	3.0	8.0	2141.0	7975.0
MUX4095.WHH1677.unmapped-both-read-and-mate	38.0	728.0	32.0	nan	1.0	212.0	5130.0
MUX4095.WHH1692.unmapped-both-read-and-mate	38.0	717.0	351.0	nan	nan	206.0	5048.0
MUX4095.WHH1701.unmapped-both-read-and-mate	62.0	677.0	482.0	nan	3.0	364.0	4797.0
MUX4095.WHH1703.unmapped-both-read-and-mate	33.0	811.0	713.0	nan	nan	386.0	6296.0
MUX4095.WHH1706.unmapped-both-read-and-mate	50.0	722.0	276.0	nan	2.0	2968.0	7571.0
MUX4095.WHH1720.unmapped-both-read-and-mate	25.0	660.0	108.0	nan	nan	817.0	5184.0
MUX4111.WHH1748.unmapped-both-read-and-mate	31.0	589.0	2.0	nan	nan	85.0	3782.0
MUX4111.WHH1762.unmapped-both-read-and-mate	23.0	637.0	2.0	nan	nan	45.0	4272.0
MUX4111.WHH1776.unmapped-both-read-and-mate	20.0	749.0	nan	nan	2.0	20.0	4568.0
