Sample	Proteobacteria	Chordata	Actinobacteria	Firmicutes	Bacteroidetes	Other	Unclassified
MUX3275.WHH429.unmapped-both-read-and-mate	41.0	1065.0	1.0	1.0	nan	2.0	6757.0
MUX3275.WHH520.unmapped-both-read-and-mate	49.0	772.0	4.0	2.0	1.0	2.0	4937.0
MUX3316.WHH533.unmapped-both-read-and-mate	78.0	769.0	9.0	nan	1.0	7.0	4670.0
MUX3316.WHH550.unmapped-both-read-and-mate	76.0	677.0	1.0	3.0	1.0	0.0	4486.0
MUX3316.WHH552.unmapped-both-read-and-mate	81.0	932.0	15.0	2.0	1.0	0.0	6090.0
MUX3316.WHH559.unmapped-both-read-and-mate	72.0	768.0	7.0	1.0	1.0	2.0	5292.0
MUX3316.WHH591.unmapped-both-read-and-mate	68.0	808.0	4.0	2.0	1.0	12.0	4686.0
MUX3316.WHH608.unmapped-both-read-and-mate	66.0	665.0	2.0	nan	nan	3.0	4118.0
MUX3316.WHH609.unmapped-both-read-and-mate	92.0	813.0	3.0	2.0	2.0	1.0	5045.0
MUX3316.WHH612.unmapped-both-read-and-mate	68.0	866.0	1.0	5.0	nan	4.0	5612.0
MUX3316.WHH617.unmapped-both-read-and-mate	65.0	673.0	3.0	1.0	2.0	3.0	4459.0
MUX3316.WHH620.unmapped-both-read-and-mate	96.0	671.0	3.0	nan	2.0	4.0	4342.0
MUX3359.WHH635.unmapped-both-read-and-mate	83.0	610.0	15.0	nan	2.0	3.0	4545.0
MUX3359.WHH636.unmapped-both-read-and-mate	64.0	619.0	4.0	nan	nan	7.0	3942.0
MUX3359.WHH675.unmapped-both-read-and-mate	53.0	546.0	nan	nan	1.0	1.0	3625.0
MUX3359.WHH687.unmapped-both-read-and-mate	52.0	649.0	nan	1.0	nan	7.0	3803.0
MUX3381.WHH718.unmapped-both-read-and-mate	84.0	693.0	1.0	2.0	4.0	9.0	5015.0
MUX3381.WHH728.unmapped-both-read-and-mate	103.0	812.0	3.0	1.0	1.0	4.0	5360.0
MUX3381.WHH732.unmapped-both-read-and-mate	113.0	670.0	4.0	9.0	2.0	8.0	4502.0
MUX3381.WHH758.unmapped-both-read-and-mate	53.0	750.0	1.0	nan	2.0	8.0	5369.0
MUX3381.WHH761.unmapped-both-read-and-mate	49.0	775.0	2.0	1.0	nan	2.0	4882.0
MUX3381.WHH771.unmapped-both-read-and-mate	121.0	678.0	5.0	2.0	1.0	3.0	5006.0
MUX3381.WHH772.unmapped-both-read-and-mate	116.0	772.0	3.0	1.0	nan	6.0	5373.0
MUX3381.WHH782.unmapped-both-read-and-mate	117.0	787.0	1.0	1.0	nan	11.0	5135.0
MUX3434.WHH839.unmapped-both-read-and-mate	58.0	722.0	16.0	5.0	1.0	2.0	4499.0
