Sample	Pseudomonadales	Burkholderiales	Primates	Sphingomonadales	Rhizobiales	Other	Unclassified
MUX4050.WHH1536.unmapped-both-read-and-mate	16.0	63.0	715.0	8.0	25.0	86.0	4922.0
MUX4068.WHH1580.unmapped-both-read-and-mate	9.0	49.0	616.0	16.0	25.0	156.0	4566.0
MUX4068.WHH1584.unmapped-both-read-and-mate	22.0	68.0	711.0	11.0	13.0	79.0	5044.0
MUX4068.WHH1587.unmapped-both-read-and-mate	27.0	142.0	691.0	20.0	49.0	134.0	5413.0
MUX4068.WHH1603.unmapped-both-read-and-mate	18.0	37.0	604.0	2.0	9.0	50.0	4245.0
MUX4068.WHH1614.unmapped-both-read-and-mate	83.0	6682.0	730.0	28.0	234.0	454.0	7975.0
MUX4095.WHH1677.unmapped-both-read-and-mate	95.0	92.0	728.0	1.0	10.0	85.0	5130.0
MUX4095.WHH1692.unmapped-both-read-and-mate	45.0	447.0	717.0	5.0	17.0	81.0	5048.0
MUX4095.WHH1701.unmapped-both-read-and-mate	139.0	616.0	677.0	29.0	29.0	98.0	4797.0
MUX4095.WHH1703.unmapped-both-read-and-mate	47.0	952.0	811.0	7.0	36.0	90.0	6296.0
MUX4095.WHH1706.unmapped-both-read-and-mate	370.0	2131.0	722.0	12.0	76.0	707.0	7571.0
MUX4095.WHH1720.unmapped-both-read-and-mate	33.0	812.0	660.0	4.0	16.0	85.0	5184.0
MUX4111.WHH1748.unmapped-both-read-and-mate	33.0	17.0	589.0	1.0	4.0	63.0	3782.0
MUX4111.WHH1762.unmapped-both-read-and-mate	24.0	22.0	637.0	nan	1.0	23.0	4272.0
MUX4111.WHH1776.unmapped-both-read-and-mate	20.0	6.0	749.0	3.0	nan	13.0	4568.0
MUX4111.WHH1791.unmapped-both-read-and-mate	39.0	18.0	580.0	11.0	6.0	174.0	4023.0
MUX4111.WHH1802.unmapped-both-read-and-mate	25.0	24.0	681.0	4.0	5.0	35.0	4279.0
MUX4111.WHH1814.unmapped-both-read-and-mate	10.0	10.0	737.0	1.0	2.0	27.0	4773.0
MUX4127.WHH1846.unmapped-both-read-and-mate	13.0	15.0	538.0	nan	2.0	25.0	3830.0
MUX4127.WHH1848.unmapped-both-read-and-mate	19.0	16.0	647.0	2.0	3.0	39.0	4165.0
MUX4127.WHH1854.unmapped-both-read-and-mate	27.0	5.0	709.0	5.0	4.0	36.0	4145.0
MUX4127.WHH1895.unmapped-both-read-and-mate	6.0	2.0	746.0	nan	4.0	29.0	4751.0
MUX4127.WHH1897.unmapped-both-read-and-mate	16.0	4.0	605.0	1.0	3.0	62.0	3908.0
MUX4150.WHH2127.unmapped-both-read-and-mate	18.0	7.0	613.0	1.0	3.0	18.0	4025.0
MUX4150.WHH2168.unmapped-both-read-and-mate	17.0	1.0	578.0	1.0	nan	13.0	3720.0
MUX4150.WHH2189.unmapped-both-read-and-mate	22.0	3.0	784.0	6.0	3.0	22.0	4647.0
MUX4150.WHH2203.unmapped-both-read-and-mate	33.0	29.0	648.0	23.0	6.0	33.0	4471.0
MUX4150.WHH2208.unmapped-both-read-and-mate	6.0	29.0	599.0	nan	2.0	49.0	4036.0
MUX4150.WHH2209.unmapped-both-read-and-mate	11.0	16.0	533.0	3.0	2.0	34.0	3866.0
MUX4212.WHH2329.unmapped-both-read-and-mate	109452.0	3537.0	515.0	12917.0	15114.0	58672.0	76341.0
MUX4212.WHH2332.unmapped-both-read-and-mate	275854.0	5449.0	619.0	7818.0	9117.0	47785.0	66650.0
MUX4212.WHH2357.unmapped-both-read-and-mate	2426.0	2021.0	818.0	9072.0	17498.0	51771.0	71856.0
MUX4212.WHH2395.unmapped-both-read-and-mate	400205.0	6732.0	697.0	2384.0	5148.0	55731.0	61131.0
MUX5167.WHB587.unmapped-both-read-and-mate	3.0	224.0	458.0	5.0	40.0	24.0	6457.0
MUX5168.WHB598.unmapped-both-read-and-mate	3.0	129.0	441.0	8.0	21.0	30.0	3972.0
MUX5168.WHB607.unmapped-both-read-and-mate	3.0	281.0	413.0	17.0	85.0	96.0	4008.0
MUX5169.WHB609.unmapped-both-read-and-mate	2.0	285.0	468.0	4.0	51.0	18.0	3911.0
MUX5170.WHB636.unmapped-both-read-and-mate	1.0	292.0	500.0	2.0	49.0	23.0	7612.0
MUX5171.WHB655.unmapped-both-read-and-mate	1.0	272.0	485.0	4.0	18.0	23.0	6027.0
MUX5172.WHB660.unmapped-both-read-and-mate	6.0	291.0	578.0	5.0	84.0	39.0	6578.0
MUX5172.WHB662.unmapped-both-read-and-mate	2.0	223.0	464.0	8.0	40.0	24.0	5682.0
MUX5173.WHB673.unmapped-both-read-and-mate	8.0	254.0	524.0	6.0	35.0	32.0	6675.0
MUX5179.WHB535.unmapped-both-read-and-mate	31.0	321.0	472.0	12.0	80.0	192.0	9544.0
MUX5179.WHB541.unmapped-both-read-and-mate	6.0	922.0	418.0	7.0	221.0	326.0	7125.0
MUX5180.WHB549.unmapped-both-read-and-mate	3.0	658.0	569.0	12.0	104.0	44.0	8322.0
MUX5181.WHB558.unmapped-both-read-and-mate	6.0	505.0	423.0	21.0	126.0	61.0	5593.0
MUX5183.WHB696.unmapped-both-read-and-mate	12.0	14.0	432.0	9.0	11.0	176.0	5774.0
MUX5183.WHB698.unmapped-both-read-and-mate	11.0	6.0	527.0	5.0	2.0	3999.0	15649.0
MUX5184.WHB710.unmapped-both-read-and-mate	nan	2.0	440.0	3.0	2.0	36.0	4088.0
MUX5185.WHB711.unmapped-both-read-and-mate	1.0	5.0	445.0	3.0	1.0	22.0	4117.0
MUX5185.WHB721.unmapped-both-read-and-mate	29.0	1.0	363.0	3.0	2.0	36.0	3161.0
MUX5186.WHB722.unmapped-both-read-and-mate	10.0	9.0	407.0	6.0	2.0	25.0	4361.0
MUX5188.WHB747.unmapped-both-read-and-mate	4.0	6.0	509.0	3.0	3.0	30.0	6893.0
MUX5188.WHB757.unmapped-both-read-and-mate	1.0	4.0	293.0	2.0	nan	57.0	7235.0
MUX5227.WHB769.unmapped-both-read-and-mate	26.0	4.0	422.0	5.0	4.0	55.0	3411.0
MUX5228.WHB578.unmapped-both-read-and-mate	1.0	162.0	418.0	1.0	35.0	27.0	3431.0
MUX5229.WHB683.unmapped-both-read-and-mate	5.0	3.0	342.0	1.0	1.0	38.0	3098.0
MUX5234.WHB816.unmapped-both-read-and-mate	1.0	11.0	489.0	2.0	54.0	22.0	7092.0
MUX5234.WHB825.unmapped-both-read-and-mate	15.0	19.0	368.0	6.0	26.0	452.0	6697.0
MUX5235.WHB826.unmapped-both-read-and-mate	nan	11.0	371.0	5.0	25.0	18.0	4317.0
MUX5235.WHB836.unmapped-both-read-and-mate	3.0	11.0	443.0	1.0	58.0	30.0	5599.0
MUX5236.WHB839.unmapped-both-read-and-mate	12.0	33.0	388.0	9.0	41.0	733.0	4873.0
MUX5236.WHB840.unmapped-both-read-and-mate	1.0	8.0	386.0	5.0	31.0	37.0	4121.0
MUX5236.WHB845.unmapped-both-read-and-mate	4.0	10.0	441.0	5.0	25.0	10.0	4184.0
MUX5240.WHB619.unmapped-both-read-and-mate	12.0	385.0	572.0	5.0	65.0	70.0	4916.0
MUX5240.WHB621.unmapped-both-read-and-mate	2.0	242.0	505.0	11.0	73.0	37.0	4519.0
MUX5240.WHB622.unmapped-both-read-and-mate	3.0	176.0	449.0	4.0	28.0	48.0	3861.0
MUX5240.WHB624.unmapped-both-read-and-mate	9.0	236.0	536.0	9.0	47.0	44.0	4311.0
MUX5242.WHB595.unmapped-both-read-and-mate	5.0	205.0	608.0	4.0	32.0	89.0	5222.0
