Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX3971.WHH1385.unmapped-both-read-and-mate	3452.0	677.0	nan	nan	6501.0
MUX3971.WHH1398.unmapped-both-read-and-mate	5855.0	731.0	3.0	2.0	7449.0
MUX3971.WHH1401.unmapped-both-read-and-mate	2314.0	662.0	nan	nan	5635.0
MUX3971.WHH1403.unmapped-both-read-and-mate	8709.0	722.0	nan	1.0	9581.0
MUX3971.WHH1423.unmapped-both-read-and-mate	196.0	572.0	2.0	nan	4481.0
MUX3971.WHH1439.unmapped-both-read-and-mate	5030.0	697.0	5.0	2.0	7860.0
MUX4050.WHH1462.unmapped-both-read-and-mate	5573.0	656.0	4.0	nan	5372.0
MUX4050.WHH1493.unmapped-both-read-and-mate	273.0	899.0	nan	1.0	5419.0
MUX4050.WHH1507.unmapped-both-read-and-mate	3771.0	786.0	nan	nan	6049.0
MUX4050.WHH1511.unmapped-both-read-and-mate	1784.0	800.0	2.0	nan	6084.0
MUX4050.WHH1512.unmapped-both-read-and-mate	2259.0	754.0	nan	nan	5152.0
MUX4050.WHH1513.unmapped-both-read-and-mate	1860.0	648.0	1.0	nan	4663.0
MUX4050.WHH1536.unmapped-both-read-and-mate	198.0	715.0	nan	nan	4922.0
MUX4068.WHH1580.unmapped-both-read-and-mate	253.0	616.0	2.0	nan	4566.0
MUX4068.WHH1584.unmapped-both-read-and-mate	192.0	711.0	nan	1.0	5044.0
MUX4068.WHH1587.unmapped-both-read-and-mate	372.0	691.0	nan	nan	5413.0
MUX4068.WHH1603.unmapped-both-read-and-mate	112.0	604.0	4.0	nan	4245.0
MUX4068.WHH1614.unmapped-both-read-and-mate	7477.0	730.0	2.0	2.0	7975.0
MUX4095.WHH1677.unmapped-both-read-and-mate	283.0	728.0	nan	nan	5130.0
MUX4095.WHH1692.unmapped-both-read-and-mate	595.0	717.0	nan	nan	5048.0
MUX4095.WHH1701.unmapped-both-read-and-mate	909.0	677.0	2.0	nan	4797.0
MUX4095.WHH1703.unmapped-both-read-and-mate	1131.0	811.0	nan	1.0	6296.0
MUX4095.WHH1706.unmapped-both-read-and-mate	3290.0	722.0	5.0	1.0	7571.0
MUX4095.WHH1720.unmapped-both-read-and-mate	949.0	660.0	nan	1.0	5184.0
MUX4111.WHH1748.unmapped-both-read-and-mate	117.0	589.0	1.0	nan	3782.0
