Sample	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Mammalia	Actinobacteria	Other	Unclassified
MUX3316.WHH620.unmapped-both-read-and-mate	41.0	nan	53.0	671.0	3.0	8.0	4342.0
MUX3359.WHH635.unmapped-both-read-and-mate	30.0	12.0	41.0	610.0	15.0	5.0	4545.0
MUX3359.WHH636.unmapped-both-read-and-mate	20.0	3.0	40.0	619.0	4.0	8.0	3942.0
MUX3359.WHH675.unmapped-both-read-and-mate	21.0	2.0	27.0	546.0	nan	5.0	3625.0
MUX3359.WHH687.unmapped-both-read-and-mate	19.0	7.0	25.0	649.0	nan	9.0	3803.0
MUX3381.WHH718.unmapped-both-read-and-mate	44.0	5.0	33.0	693.0	1.0	17.0	5015.0
MUX3381.WHH728.unmapped-both-read-and-mate	32.0	9.0	59.0	812.0	3.0	9.0	5360.0
MUX3381.WHH732.unmapped-both-read-and-mate	45.0	9.0	58.0	670.0	4.0	20.0	4502.0
MUX3381.WHH758.unmapped-both-read-and-mate	35.0	4.0	14.0	750.0	1.0	10.0	5369.0
MUX3381.WHH761.unmapped-both-read-and-mate	29.0	4.0	16.0	775.0	2.0	3.0	4882.0
MUX3381.WHH771.unmapped-both-read-and-mate	75.0	13.0	32.0	678.0	5.0	7.0	5006.0
MUX3381.WHH772.unmapped-both-read-and-mate	66.0	15.0	31.0	772.0	3.0	11.0	5373.0
MUX3381.WHH782.unmapped-both-read-and-mate	69.0	8.0	40.0	787.0	1.0	12.0	5135.0
MUX3434.WHH839.unmapped-both-read-and-mate	21.0	20.0	17.0	722.0	16.0	8.0	4499.0
MUX3434.WHH849.unmapped-both-read-and-mate	34.0	19.0	47.0	766.0	1.0	10.0	4566.0
MUX3434.WHH860.unmapped-both-read-and-mate	18.0	4.0	19.0	862.0	3.0	10.0	5397.0
MUX3434.WHH868.unmapped-both-read-and-mate	50.0	9.0	48.0	763.0	8.0	13.0	5346.0
MUX3434.WHH872.unmapped-both-read-and-mate	49.0	11.0	40.0	887.0	6.0	15.0	5862.0
MUX3529.WHH942.unmapped-both-read-and-mate	52.0	36.0	84.0	657.0	5.0	22.0	4202.0
MUX3529.WHH966.unmapped-both-read-and-mate	30.0	18.0	41.0	708.0	5.0	7.0	4779.0
MUX3529.WHH981.unmapped-both-read-and-mate	43.0	50.0	72.0	793.0	5.0	11.0	5008.0
MUX3529.WHH987.unmapped-both-read-and-mate	29.0	32.0	82.0	777.0	2.0	9.0	4595.0
MUX3529.WHH999.unmapped-both-read-and-mate	32.0	10.0	38.0	654.0	2.0	13.0	4206.0
MUX3936.WHH1096.unmapped-both-read-and-mate	84.0	29.0	48.0	716.0	59.0	25.0	4808.0
MUX3936.WHH1097.unmapped-both-read-and-mate	13.0	9.0	23.0	669.0	4.0	8.0	4181.0
MUX3936.WHH1122.unmapped-both-read-and-mate	33.0	9.0	10.0	747.0	5.0	9.0	4306.0
MUX3936.WHH1136.unmapped-both-read-and-mate	189.0	271.0	3575.0	803.0	29.0	115.0	7809.0
MUX3936.WHH1147.unmapped-both-read-and-mate	351.0	572.0	8210.0	594.0	115.0	243.0	9412.0
MUX3949.WHH1158.unmapped-both-read-and-mate	12.0	2.0	22.0	763.0	1.0	11.0	3942.0
MUX3949.WHH1190.unmapped-both-read-and-mate	10.0	10.0	110.0	718.0	5.0	4.0	4294.0
MUX3949.WHH1197.unmapped-both-read-and-mate	59.0	69.0	2177.0	844.0	26.0	48.0	5290.0
MUX3949.WHH1237.unmapped-both-read-and-mate	6.0	30.0	40.0	673.0	3.0	7.0	3813.0
MUX3949.WHH1248.unmapped-both-read-and-mate	3968.0	419.0	4055.0	699.0	195.0	213.0	6478.0
MUX3949.WHH1249.unmapped-both-read-and-mate	87.0	128.0	3013.0	673.0	18.0	74.0	5258.0
MUX3969.WHH1253.unmapped-both-read-and-mate	47.0	25.0	64.0	586.0	11.0	25.0	4465.0
MUX3969.WHH1276.unmapped-both-read-and-mate	63.0	45.0	92.0	678.0	11.0	14.0	4710.0
MUX3969.WHH1284.unmapped-both-read-and-mate	22.0	108.0	118.0	685.0	25.0	29.0	5017.0
MUX3969.WHH1291.unmapped-both-read-and-mate	34.0	94.0	130.0	685.0	15.0	39.0	4997.0
MUX3969.WHH1294.unmapped-both-read-and-mate	23.0	26.0	60.0	697.0	4.0	13.0	4988.0
MUX3969.WHH1302.unmapped-both-read-and-mate	4601.0	249.0	678.0	731.0	58.0	112.0	6703.0
MUX3969.WHH1303.unmapped-both-read-and-mate	73.0	84.0	101.0	596.0	12.0	18.0	4518.0
MUX3969.WHH1319.unmapped-both-read-and-mate	28.0	19.0	29.0	752.0	5.0	11.0	4929.0
MUX3969.WHH1321.unmapped-both-read-and-mate	26.0	38.0	72.0	730.0	8.0	10.0	4704.0
MUX3969.WHH1324.unmapped-both-read-and-mate	28.0	19.0	52.0	720.0	6.0	12.0	5286.0
MUX3969.WHH1329.unmapped-both-read-and-mate	133.0	214.0	79.0	665.0	31.0	26.0	4365.0
MUX3969.WHH1342.unmapped-both-read-and-mate	43.0	44.0	78.0	645.0	11.0	19.0	4832.0
MUX3969.WHH1343.unmapped-both-read-and-mate	53.0	25.0	125.0	762.0	22.0	19.0	5414.0
MUX3971.WHH1351.unmapped-both-read-and-mate	88.0	109.0	2317.0	625.0	128.0	78.0	5440.0
MUX3971.WHH1385.unmapped-both-read-and-mate	94.0	175.0	3084.0	677.0	26.0	73.0	6501.0
MUX3971.WHH1398.unmapped-both-read-and-mate	166.0	272.0	5238.0	731.0	50.0	134.0	7449.0
MUX3971.WHH1401.unmapped-both-read-and-mate	89.0	112.0	2024.0	662.0	20.0	69.0	5635.0
MUX3971.WHH1403.unmapped-both-read-and-mate	263.0	391.0	7781.0	722.0	73.0	202.0	9581.0
MUX3971.WHH1423.unmapped-both-read-and-mate	100.0	17.0	59.0	572.0	6.0	16.0	4481.0
MUX3971.WHH1439.unmapped-both-read-and-mate	204.0	320.0	4355.0	697.0	27.0	131.0	7860.0
MUX4050.WHH1462.unmapped-both-read-and-mate	300.0	124.0	3037.0	656.0	1493.0	623.0	5372.0
MUX4050.WHH1493.unmapped-both-read-and-mate	27.0	31.0	202.0	899.0	5.0	9.0	5419.0
MUX4050.WHH1507.unmapped-both-read-and-mate	112.0	130.0	3422.0	786.0	30.0	77.0	6049.0
MUX4050.WHH1511.unmapped-both-read-and-mate	48.0	65.0	1605.0	800.0	19.0	49.0	6084.0
MUX4050.WHH1512.unmapped-both-read-and-mate	71.0	77.0	2055.0	754.0	15.0	41.0	5152.0
MUX4050.WHH1513.unmapped-both-read-and-mate	67.0	63.0	1682.0	648.0	9.0	40.0	4663.0
