Sample	Pseudomonas mendocina	Homo sapiens	Alcaligenes faecalis	Sphingobium sp. YG1	Ralstonia insidiosa	Other	Unclassified
MUX9436.WHB8890.unmapped-both-read-and-mate	nan	563.0	1272.0	1.0	nan	2984.0	15415.0
MUX9445.WHB8935.unmapped-both-read-and-mate	1.0	384.0	2126.0	2.0	2.0	3479.0	6948.0
MUX9454.WHB8999.unmapped-both-read-and-mate	7.0	930.0	1893.0	1.0	4.0	5658.0	39274.0
MUX9456.WHB8983.unmapped-both-read-and-mate	6.0	814.0	2036.0	7.0	3.0	11252.0	37600.0
MUX9456.WHB8986.unmapped-both-read-and-mate	nan	768.0	2255.0	2.0	5.0	4759.0	33541.0
MUX9471.WHB9133.unmapped-both-read-and-mate	nan	257.0	1627.0	4.0	7.0	5393.0	6255.0
MUX9498.WHB9073.unmapped-both-read-and-mate	nan	1044.0	1910.0	3.0	3.0	5988.0	26868.0
MUX9502.WHB9093.unmapped-both-read-and-mate	nan	694.0	2581.0	1.0	6.0	5339.0	23865.0
MUX9513.WHB9264.unmapped-both-read-and-mate	5.0	513.0	3025.0	194.0	4.0	40922.0	42621.0
MUX9515.WHB9276.unmapped-both-read-and-mate	6.0	533.0	2601.0	42.0	10.0	11732.0	21264.0
MUX9515.WHB9281.unmapped-both-read-and-mate	4.0	642.0	5170.0	66.0	13.0	19517.0	30513.0
MUX9517.WHB9293.unmapped-both-read-and-mate	7.0	384.0	8043.0	66.0	11.0	20114.0	21267.0
MUX9522.WHB9315.unmapped-both-read-and-mate	2.0	356.0	1023.0	34.0	2.0	7178.0	8132.0
MUX9522.WHB9317.unmapped-both-read-and-mate	28.0	348.0	13008.0	159.0	26.0	73475.0	54484.0
MUX9542.WHB9360.unmapped-both-read-and-mate	1.0	875.0	2951.0	1.0	1.0	2969.0	30229.0
MUX9560.WHB9443.unmapped-both-read-and-mate	3.0	580.0	1430.0	4.0	2.0	11327.0	23751.0
MUX9564.WHB9469.unmapped-both-read-and-mate	3.0	631.0	1837.0	13.0	17.0	11259.0	26656.0
MUX9566.WHB9477.unmapped-both-read-and-mate	5.0	570.0	1471.0	1.0	3.0	4833.0	16442.0
MUX9567.WHB9487.unmapped-both-read-and-mate	7.0	595.0	3029.0	7.0	5.0	24426.0	31507.0
MUX9573.WHB9430.unmapped-both-read-and-mate	2.0	550.0	1174.0	2.0	2.0	4763.0	13897.0
MUX9577.WHB9047.unmapped-both-read-and-mate	1.0	512.0	3684.0	6.0	2.0	7687.0	12046.0
MUX9590.WHB9516.unmapped-both-read-and-mate	8.0	595.0	2484.0	9.0	14.0	23110.0	23175.0
MUX9591.WHB9519.unmapped-both-read-and-mate	6.0	516.0	1704.0	7.0	5.0	10834.0	15794.0
MUX9596.WHB9552.unmapped-both-read-and-mate	nan	553.0	3.0	4.0	2.0	1269.0	9294.0
MUX9602.WHB9590.unmapped-both-read-and-mate	1.0	689.0	1946.0	4.0	4.0	5833.0	15019.0
MUX9611.WHB9635.unmapped-both-read-and-mate	9.0	643.0	2327.0	12.0	13.0	13213.0	29328.0
MUX9612.WHB9579.unmapped-both-read-and-mate	7.0	377.0	2413.0	6.0	18.0	11286.0	13284.0
MUX9612.WHB9640.unmapped-both-read-and-mate	2.0	420.0	1768.0	7.0	8.0	14102.0	12823.0
MUX9617.WHB9663.unmapped-both-read-and-mate	3.0	383.0	2430.0	10.0	18.0	21620.0	18808.0
MUX9630.WHB9735.unmapped-both-read-and-mate	2.0	671.0	2955.0	nan	nan	6192.0	26441.0
MUX9645.WHB9751.unmapped-both-read-and-mate	1.0	748.0	1851.0	nan	nan	761.0	15855.0
MUX9647.WHB9769.unmapped-both-read-and-mate	nan	658.0	1488.0	nan	nan	1475.0	11492.0
MUX9659.WHB9839.unmapped-both-read-and-mate	nan	611.0	2184.0	nan	nan	885.0	14258.0
MUX9663.WHB9851.unmapped-both-read-and-mate	nan	366.0	2482.0	1.0	nan	1920.0	5216.0
MUX9665.WHB9854.unmapped-both-read-and-mate	nan	360.0	2000.0	1.0	nan	4028.0	6096.0
MUX9665.WHB9855.unmapped-both-read-and-mate	1.0	375.0	3312.0	nan	2.0	5422.0	7808.0
MUX9667.WHB9870.unmapped-both-read-and-mate	7.0	434.0	2653.0	11.0	2.0	14505.0	15230.0
MUX9673.WHB9901.unmapped-both-read-and-mate	16.0	507.0	4109.0	23.0	21.0	54682.0	42174.0
MUX9675.WHB9900.unmapped-both-read-and-mate	13.0	409.0	3947.0	19.0	32.0	41769.0	31778.0
MUX9684.WHB9952.unmapped-both-read-and-mate	2.0	633.0	740.0	1.0	nan	6128.0	22759.0
MUX9689.WHB9996.unmapped-both-read-and-mate	8.0	625.0	1920.0	16.0	10.0	15977.0	25538.0
MUX9691.WHB9987.unmapped-both-read-and-mate	2.0	562.0	1568.0	22.0	2.0	10802.0	19132.0
MUX9695.WHB10002.unmapped-both-read-and-mate	5.0	497.0	1321.0	3.0	4.0	3984.0	14269.0
MUX9695.WHB10009.unmapped-both-read-and-mate	3.0	518.0	1592.0	4.0	3.0	7856.0	17843.0
MUX9696.WHB10014.unmapped-both-read-and-mate	1.0	735.0	1750.0	2.0	nan	4116.0	23273.0
MUX9701.WHB10046.unmapped-both-read-and-mate	9.0	879.0	3837.0	15.0	18.0	42243.0	57490.0
MUX9710.WHB8840.unmapped-both-read-and-mate	1.0	395.0	1543.0	nan	3.0	11450.0	11974.0
MUX9726.WHB10276.unmapped-both-read-and-mate	2.0	488.0	2993.0	nan	1.0	3565.0	11589.0
MUX9745.WHB10189.unmapped-both-read-and-mate	2.0	299.0	1823.0	nan	nan	983.0	4126.0
MUX9747.WHB10207.unmapped-both-read-and-mate	nan	407.0	4192.0	nan	1.0	3084.0	6574.0
MUX9766.WHB10093.unmapped-both-read-and-mate	2.0	1010.0	204.0	4.0	1.0	3650.0	43817.0
MUX9767.WHB10110.unmapped-both-read-and-mate	nan	920.0	188.0	3.0	nan	3159.0	37215.0
MUX9768.WHB10107.unmapped-both-read-and-mate	nan	1588.0	117.0	1.0	5.0	1742.0	65748.0
MUX9800.WHB10239.unmapped-both-read-and-mate	1.0	379.0	3208.0	2.0	nan	6302.0	9356.0
MUX9804.WHB10368.unmapped-both-read-and-mate	nan	354.0	164.0	8.0	nan	3709.0	5751.0
MUX9807.WHB10460.unmapped-both-read-and-mate	1.0	347.0	318.0	3.0	1.0	4955.0	4097.0
MUX9811.WHB9408.unmapped-both-read-and-mate	nan	369.0	2280.0	nan	nan	863.0	4256.0
MUX9814.WHB9759.unmapped-both-read-and-mate	nan	511.0	2766.0	nan	nan	2145.0	8236.0
MUX9824.WHB10385.unmapped-both-read-and-mate	4.0	479.0	164.0	5.0	2.0	3539.0	7759.0
MUX9829.WHB10417.unmapped-both-read-and-mate	1.0	458.0	300.0	11.0	nan	5150.0	9569.0
MUX9831.WHB10424.unmapped-both-read-and-mate	nan	643.0	185.0	6.0	2.0	4797.0	22531.0
MUX9832.WHB10426.unmapped-both-read-and-mate	3.0	693.0	176.0	11.0	4.0	4791.0	34378.0
MUX9843.WHB10094.unmapped-both-read-and-mate	nan	774.0	279.0	8.0	1.0	4529.0	31300.0
MUX9936.WHB10569.unmapped-both-read-and-mate	4.0	633.0	2165.0	3.0	1.0	5560.0	20859.0
MUX9937.WHB10599.unmapped-both-read-and-mate	4.0	419.0	2036.0	3.0	3.0	4833.0	19613.0
MUX9960.WHB6364.unmapped-both-read-and-mate	nan	1114.0	nan	nan	nan	319.0	41774.0
MUX9967.WHB7729.unmapped-both-read-and-mate	nan	1448.0	nan	1.0	nan	3669.0	58149.0
MUX9970.WHB7668.unmapped-both-read-and-mate	nan	765.0	nan	nan	nan	49.0	21333.0
MUX9974.WHB7686.unmapped-both-read-and-mate	nan	537.0	nan	nan	nan	126.0	7891.0
MUX9975.WHB7692.unmapped-both-read-and-mate	1.0	525.0	nan	nan	nan	64.0	8080.0
MUX9976.WHB7702.unmapped-both-read-and-mate	nan	666.0	nan	nan	nan	49.0	11606.0
MUX9977.WHB7698.unmapped-both-read-and-mate	nan	625.0	nan	nan	nan	25.0	10749.0
MUX9980.WHB6399.unmapped-both-read-and-mate	nan	449.0	nan	nan	nan	1932.0	5418.0
MUX9980.WHB6400.unmapped-both-read-and-mate	nan	397.0	nan	nan	nan	1726.0	5029.0
MUX9992.WHB6265.unmapped-both-read-and-mate	nan	319.0	nan	nan	1.0	1389.0	4749.0
MUX9999.WHB6349.unmapped-both-read-and-mate	nan	980.0	nan	nan	1.0	273.0	37532.0
PRISM_topup.0116-0065.unmapped-both-read-and-mate	314043.0	1020.0	6.0	9.0	4.0	282701.0	54666.0
PRISM_topup.0416-0025.unmapped-both-read-and-mate	198934.0	1145.0	2.0	16.0	1.0	319087.0	78295.0
PRISM_topup.0416-0079.unmapped-both-read-and-mate	467649.0	1701.0	5.0	8.0	8.0	451312.0	102617.0
PRISM_topup.0515-0023.unmapped-both-read-and-mate	864134.0	1225.0	3.0	5.0	10.0	550322.0	208762.0
PRISM_topup.0615-0016.unmapped-both-read-and-mate	902670.0	1082.0	1.0	4.0	7.0	575910.0	116214.0
PRISM_topup.0815-0028.unmapped-both-read-and-mate	392809.0	1130.0	nan	8.0	3.0	369647.0	67074.0
PRISM_topup.0915-0012.unmapped-both-read-and-mate	587735.0	680.0	2.0	11.0	1.0	363917.0	98581.0
PRISM_topup.0915-0068.unmapped-both-read-and-mate	267631.0	904.0	3.0	9.0	3.0	175128.0	53637.0
PRISM_topup.1015-0044.unmapped-both-read-and-mate	186870.0	890.0	nan	10.0	4.0	128643.0	44899.0
PRISM_topup.1015-0053.unmapped-both-read-and-mate	116310.0	819.0	1.0	3.0	3.0	81690.0	30619.0
PRISM_topup.1015-0087.unmapped-both-read-and-mate	260007.0	734.0	nan	16.0	6.0	183756.0	57612.0
PRISM_topup.1214-0068.unmapped-both-read-and-mate	490227.0	1318.0	2.0	341.0	84.0	791502.0	308864.0
SSMP_001_to_009.SSM002.unmapped-both-read-and-mate	nan	5.0	nan	nan	nan	0.0	248.0
SSMP_001_to_009.SSM003.unmapped-both-read-and-mate	nan	9.0	nan	nan	nan	0.0	306.0
SSMP_001_to_009.SSM004.unmapped-both-read-and-mate	nan	3.0	nan	nan	nan	0.0	177.0
SSMP_001_to_009.SSM007.unmapped-both-read-and-mate	nan	3.0	nan	nan	nan	0.0	201.0
SSMP_001_to_009.SSM009.unmapped-both-read-and-mate	nan	11.0	nan	nan	nan	1.0	347.0
SSMP_010_to_019.SSM010.unmapped-both-read-and-mate	nan	3.0	nan	nan	nan	0.0	277.0
SSMP_010_to_019.SSM011.unmapped-both-read-and-mate	nan	3.0	nan	nan	nan	0.0	192.0
SSMP_010_to_019.SSM012.unmapped-both-read-and-mate	nan	7.0	nan	nan	nan	0.0	147.0
SSMP_010_to_019.SSM013.unmapped-both-read-and-mate	nan	1.0	nan	nan	nan	0.0	128.0
SSMP_010_to_019.SSM015.unmapped-both-read-and-mate	nan	3.0	nan	nan	nan	0.0	178.0
SSMP_010_to_019.SSM016.unmapped-both-read-and-mate	nan	4.0	nan	nan	nan	0.0	278.0
SSMP_010_to_019.SSM019.unmapped-both-read-and-mate	nan	1.0	nan	nan	nan	0.0	306.0
SSMP_020_to_029.SSM020.unmapped-both-read-and-mate	nan	24.0	nan	nan	nan	0.0	449.0
SSMP_020_to_029.SSM021.unmapped-both-read-and-mate	nan	4.0	nan	nan	nan	0.0	429.0
SSMP_020_to_029.SSM022.unmapped-both-read-and-mate	nan	3.0	nan	nan	nan	0.0	171.0
SSMP_020_to_029.SSM023.unmapped-both-read-and-mate	nan	3.0	nan	nan	nan	0.0	237.0
SSMP_020_to_029.SSM024.unmapped-both-read-and-mate	nan	6.0	nan	nan	nan	0.0	232.0
SSMP_020_to_029.SSM026.unmapped-both-read-and-mate	nan	9.0	nan	nan	nan	0.0	270.0
SSMP_020_to_029.SSM028.unmapped-both-read-and-mate	nan	7.0	nan	nan	nan	0.0	230.0
SSMP_020_to_029.SSM029.unmapped-both-read-and-mate	nan	29.0	nan	nan	nan	0.0	647.0
SSMP_030_to_039.SSM031.unmapped-both-read-and-mate	nan	2.0	nan	nan	nan	0.0	238.0
SSMP_030_to_039.SSM032.unmapped-both-read-and-mate	nan	4.0	nan	nan	nan	0.0	253.0
SSMP_030_to_039.SSM033.unmapped-both-read-and-mate	nan	3.0	nan	nan	nan	0.0	290.0
SSMP_030_to_039.SSM035.unmapped-both-read-and-mate	nan	21.0	nan	nan	nan	0.0	2287.0
SSMP_030_to_039.SSM036.unmapped-both-read-and-mate	nan	3.0	nan	nan	nan	0.0	281.0
SSMP_040_to_049.SSM040.unmapped-both-read-and-mate	nan	5.0	nan	nan	nan	0.0	429.0
SSMP_040_to_049.SSM041.unmapped-both-read-and-mate	nan	28.0	nan	nan	nan	0.0	1063.0
SSMP_040_to_049.SSM042.unmapped-both-read-and-mate	nan	4.0	nan	nan	nan	0.0	402.0
SSMP_040_to_049.SSM044.unmapped-both-read-and-mate	nan	15.0	nan	nan	nan	0.0	876.0
SSMP_040_to_049.SSM045.unmapped-both-read-and-mate	nan	9.0	nan	nan	nan	0.0	372.0
SSMP_050_to_059.SSM050.unmapped-both-read-and-mate	nan	301.0	nan	nan	nan	1.0	13936.0
SSMP_050_to_059.SSM053.unmapped-both-read-and-mate	nan	23.0	nan	nan	nan	0.0	2050.0
SSMP_050_to_059.SSM055.unmapped-both-read-and-mate	nan	36.0	nan	nan	nan	0.0	2318.0
SSMP_050_to_059.SSM056.unmapped-both-read-and-mate	nan	47.0	nan	nan	nan	0.0	2847.0
SSMP_050_to_059.SSM058.unmapped-both-read-and-mate	nan	25.0	nan	nan	nan	0.0	1021.0
SSMP_050_to_059.SSM059.unmapped-both-read-and-mate	nan	2.0	nan	nan	nan	0.0	171.0
SSMP_060_to_069.SSM061.unmapped-both-read-and-mate	nan	5.0	nan	nan	nan	1.0	203.0
SSMP_060_to_069.SSM063.unmapped-both-read-and-mate	nan	11.0	nan	nan	nan	0.0	575.0
SSMP_060_to_069.SSM064.unmapped-both-read-and-mate	nan	15.0	nan	nan	nan	1.0	708.0
SSMP_060_to_069.SSM065.unmapped-both-read-and-mate	nan	60.0	nan	nan	nan	8.0	2161.0
SSMP_060_to_069.SSM066.unmapped-both-read-and-mate	nan	72.0	nan	nan	nan	24.0	4007.0
SSMP_060_to_069.SSM067.unmapped-both-read-and-mate	nan	2907.0	nan	nan	nan	15.0	152425.0
SSMP_060_to_069.SSM068.unmapped-both-read-and-mate	nan	2752.0	nan	nan	nan	18.0	132953.0
SSMP_070_to_079.SSM071.unmapped-both-read-and-mate	nan	14.0	nan	nan	nan	0.0	873.0
SSMP_070_to_079.SSM072.unmapped-both-read-and-mate	nan	22.0	nan	nan	nan	0.0	756.0
SSMP_070_to_079.SSM073.unmapped-both-read-and-mate	nan	5.0	nan	nan	nan	0.0	781.0
SSMP_070_to_079.SSM074.unmapped-both-read-and-mate	nan	11.0	nan	nan	nan	1.0	915.0
SSMP_070_to_079.SSM077.unmapped-both-read-and-mate	nan	49.0	nan	nan	nan	0.0	1059.0
SSMP_070_to_079.SSM078.unmapped-both-read-and-mate	nan	42.0	nan	nan	nan	0.0	1135.0
SSMP_070_to_079.SSM079.unmapped-both-read-and-mate	nan	14.0	nan	nan	nan	0.0	528.0
SSMP_080_to_089.SSM080.unmapped-both-read-and-mate	nan	19.0	nan	nan	nan	1.0	653.0
SSMP_080_to_089.SSM081.unmapped-both-read-and-mate	nan	34.0	nan	nan	nan	0.0	1911.0
SSMP_080_to_089.SSM082.unmapped-both-read-and-mate	nan	33.0	nan	nan	nan	0.0	1556.0
SSMP_080_to_089.SSM083.unmapped-both-read-and-mate	nan	7.0	nan	nan	nan	0.0	516.0
SSMP_080_to_089.SSM084.unmapped-both-read-and-mate	nan	36.0	nan	nan	nan	0.0	3701.0
SSMP_080_to_089.SSM085.unmapped-both-read-and-mate	nan	3.0	nan	nan	nan	0.0	186.0
SSMP_080_to_089.SSM086.unmapped-both-read-and-mate	nan	1.0	nan	nan	nan	0.0	247.0
SSMP_080_to_089.SSM087.unmapped-both-read-and-mate	nan	4.0	nan	nan	nan	0.0	192.0
SSMP_090_to_100.SSM092.unmapped-both-read-and-mate	nan	6.0	nan	nan	nan	0.0	222.0
SSMP_090_to_100.SSM093.unmapped-both-read-and-mate	nan	9.0	nan	nan	nan	0.0	327.0
SSMP_090_to_100.SSM097.unmapped-both-read-and-mate	nan	21.0	nan	nan	nan	0.0	741.0
SSMP_090_to_100.SSM099.unmapped-both-read-and-mate	nan	36.0	nan	nan	nan	1.0	1005.0
SSMP_090_to_100.SSM100.unmapped-both-read-and-mate	nan	44.0	nan	nan	nan	1.0	965.0
