Sample	Pseudomonas mendocina	Homo sapiens	Alcaligenes faecalis	Sphingobium sp. YG1	Ralstonia insidiosa	Other	Unclassified
MUX4068.WHH1614.unmapped-both-read-and-mate	2.0	730.0	3.0	nan	1259.0	6217.0	7975.0
MUX4095.WHH1677.unmapped-both-read-and-mate	7.0	728.0	nan	nan	3.0	273.0	5130.0
MUX4095.WHH1692.unmapped-both-read-and-mate	2.0	717.0	nan	nan	81.0	512.0	5048.0
MUX4095.WHH1701.unmapped-both-read-and-mate	1.0	677.0	nan	nan	84.0	826.0	4797.0
MUX4095.WHH1703.unmapped-both-read-and-mate	nan	811.0	nan	2.0	161.0	969.0	6296.0
MUX4095.WHH1706.unmapped-both-read-and-mate	4.0	722.0	nan	nan	67.0	3225.0	7571.0
MUX4095.WHH1720.unmapped-both-read-and-mate	nan	660.0	nan	nan	22.0	928.0	5184.0
MUX4111.WHH1748.unmapped-both-read-and-mate	nan	589.0	nan	nan	1.0	117.0	3782.0
MUX4111.WHH1762.unmapped-both-read-and-mate	nan	637.0	nan	nan	2.0	68.0	4272.0
MUX4111.WHH1776.unmapped-both-read-and-mate	1.0	749.0	nan	nan	nan	41.0	4568.0
MUX4111.WHH1791.unmapped-both-read-and-mate	nan	580.0	nan	nan	nan	248.0	4023.0
MUX4111.WHH1802.unmapped-both-read-and-mate	1.0	681.0	nan	nan	1.0	91.0	4279.0
MUX4111.WHH1814.unmapped-both-read-and-mate	nan	737.0	nan	nan	nan	50.0	4773.0
MUX4127.WHH1846.unmapped-both-read-and-mate	nan	538.0	nan	nan	nan	55.0	3830.0
MUX4127.WHH1848.unmapped-both-read-and-mate	1.0	647.0	nan	nan	nan	78.0	4165.0
MUX4127.WHH1854.unmapped-both-read-and-mate	nan	709.0	nan	nan	nan	77.0	4145.0
MUX4127.WHH1895.unmapped-both-read-and-mate	nan	746.0	nan	nan	nan	41.0	4751.0
MUX4127.WHH1897.unmapped-both-read-and-mate	nan	605.0	nan	nan	1.0	85.0	3908.0
MUX4150.WHH2127.unmapped-both-read-and-mate	nan	613.0	nan	nan	nan	47.0	4025.0
MUX4150.WHH2168.unmapped-both-read-and-mate	nan	578.0	nan	nan	nan	32.0	3720.0
MUX4150.WHH2189.unmapped-both-read-and-mate	1.0	784.0	nan	nan	1.0	54.0	4647.0
MUX4150.WHH2203.unmapped-both-read-and-mate	4.0	648.0	nan	2.0	nan	118.0	4471.0
MUX4150.WHH2208.unmapped-both-read-and-mate	nan	599.0	nan	nan	1.0	85.0	4036.0
MUX4150.WHH2209.unmapped-both-read-and-mate	nan	533.0	nan	nan	1.0	65.0	3866.0
MUX4212.WHH2329.unmapped-both-read-and-mate	76350.0	515.0	nan	84.0	15.0	123243.0	76341.0
MUX4212.WHH2332.unmapped-both-read-and-mate	193709.0	619.0	nan	69.0	12.0	152233.0	66650.0
MUX4212.WHH2357.unmapped-both-read-and-mate	1353.0	818.0	nan	71.0	34.0	81330.0	71856.0
MUX4212.WHH2395.unmapped-both-read-and-mate	281112.0	697.0	nan	17.0	7.0	189064.0	61131.0
MUX5167.WHB587.unmapped-both-read-and-mate	nan	458.0	nan	nan	1.0	295.0	6457.0
MUX5168.WHB598.unmapped-both-read-and-mate	nan	441.0	nan	nan	1.0	190.0	3972.0
MUX5168.WHB607.unmapped-both-read-and-mate	nan	413.0	nan	nan	2.0	480.0	4008.0
MUX5169.WHB609.unmapped-both-read-and-mate	nan	468.0	nan	nan	3.0	357.0	3911.0
MUX5170.WHB636.unmapped-both-read-and-mate	nan	500.0	nan	nan	3.0	364.0	7612.0
MUX5171.WHB655.unmapped-both-read-and-mate	nan	485.0	nan	nan	nan	318.0	6027.0
MUX5172.WHB660.unmapped-both-read-and-mate	1.0	578.0	nan	nan	3.0	421.0	6578.0
MUX5172.WHB662.unmapped-both-read-and-mate	nan	464.0	nan	1.0	1.0	295.0	5682.0
MUX5173.WHB673.unmapped-both-read-and-mate	nan	524.0	nan	nan	1.0	334.0	6675.0
MUX5179.WHB535.unmapped-both-read-and-mate	nan	472.0	nan	nan	2.0	634.0	9544.0
MUX5179.WHB541.unmapped-both-read-and-mate	nan	418.0	nan	nan	3.0	1479.0	7125.0
MUX5180.WHB549.unmapped-both-read-and-mate	nan	569.0	nan	nan	4.0	817.0	8322.0
MUX5181.WHB558.unmapped-both-read-and-mate	nan	423.0	nan	nan	3.0	716.0	5593.0
MUX5183.WHB696.unmapped-both-read-and-mate	1.0	432.0	nan	nan	1.0	220.0	5774.0
MUX5183.WHB698.unmapped-both-read-and-mate	nan	527.0	nan	nan	nan	4023.0	15649.0
MUX5184.WHB710.unmapped-both-read-and-mate	nan	440.0	nan	nan	nan	43.0	4088.0
MUX5185.WHB711.unmapped-both-read-and-mate	nan	445.0	nan	nan	nan	32.0	4117.0
MUX5185.WHB721.unmapped-both-read-and-mate	nan	363.0	nan	nan	nan	71.0	3161.0
MUX5186.WHB722.unmapped-both-read-and-mate	nan	407.0	nan	nan	nan	52.0	4361.0
MUX5188.WHB747.unmapped-both-read-and-mate	nan	509.0	nan	nan	2.0	44.0	6893.0
MUX5188.WHB757.unmapped-both-read-and-mate	nan	293.0	nan	nan	nan	64.0	7235.0
MUX5227.WHB769.unmapped-both-read-and-mate	nan	422.0	nan	nan	nan	94.0	3411.0
MUX5228.WHB578.unmapped-both-read-and-mate	nan	418.0	nan	nan	nan	226.0	3431.0
MUX5229.WHB683.unmapped-both-read-and-mate	nan	342.0	1.0	nan	nan	47.0	3098.0
MUX5234.WHB816.unmapped-both-read-and-mate	nan	489.0	nan	nan	nan	90.0	7092.0
MUX5234.WHB825.unmapped-both-read-and-mate	nan	368.0	nan	nan	nan	518.0	6697.0
MUX5235.WHB826.unmapped-both-read-and-mate	nan	371.0	nan	nan	nan	59.0	4317.0
MUX5235.WHB836.unmapped-both-read-and-mate	nan	443.0	nan	nan	nan	103.0	5599.0
MUX5236.WHB839.unmapped-both-read-and-mate	nan	388.0	nan	nan	nan	828.0	4873.0
MUX5236.WHB840.unmapped-both-read-and-mate	nan	386.0	nan	nan	nan	82.0	4121.0
MUX5236.WHB845.unmapped-both-read-and-mate	nan	441.0	nan	nan	nan	54.0	4184.0
MUX5240.WHB619.unmapped-both-read-and-mate	nan	572.0	nan	nan	1.0	536.0	4916.0
MUX5240.WHB621.unmapped-both-read-and-mate	nan	505.0	nan	1.0	1.0	363.0	4519.0
MUX5240.WHB622.unmapped-both-read-and-mate	nan	449.0	nan	nan	2.0	257.0	3861.0
MUX5240.WHB624.unmapped-both-read-and-mate	1.0	536.0	nan	nan	2.0	342.0	4311.0
MUX5242.WHB595.unmapped-both-read-and-mate	nan	608.0	nan	nan	nan	335.0	5222.0
MUX5243.WHH5006.unmapped-both-read-and-mate	nan	350.0	nan	nan	1.0	194.0	3105.0
MUX5243.WHH5014.unmapped-both-read-and-mate	nan	434.0	nan	nan	nan	31.0	3664.0
MUX5244.WHH5033.unmapped-both-read-and-mate	nan	575.0	nan	nan	nan	51.0	7725.0
MUX5246.WHH5062.unmapped-both-read-and-mate	nan	548.0	nan	nan	nan	42.0	6619.0
MUX5246.WHH5063.unmapped-both-read-and-mate	nan	537.0	nan	nan	nan	38.0	6014.0
MUX5246.WHH5064.unmapped-both-read-and-mate	1.0	498.0	nan	nan	nan	8.0	5924.0
MUX5247.WHH5072.unmapped-both-read-and-mate	nan	574.0	nan	nan	1.0	3714.0	15413.0
MUX5247.WHH5074.unmapped-both-read-and-mate	nan	643.0	nan	nan	nan	4406.0	17662.0
MUX5250.WHH5109.unmapped-both-read-and-mate	nan	375.0	nan	nan	6494.0	4445.0	5260.0
MUX5255.WHH5000.unmapped-both-read-and-mate	nan	501.0	nan	nan	nan	57.0	6160.0
MUX5261.WHH5159.unmapped-both-read-and-mate	nan	449.0	nan	nan	275.0	157.0	7780.0
